SITE|STONE|INSCRIPTIO|READING|BIB_REF|PAGES|VALUE
ARRAG|1|1|2|Cuppage/etal/1986|248--250|cdisc
ARRAG|1|1|3|Macalister/1902|18--19|minor
ARRAG|2|1|1|Cuppage/etal/1986|248|read
ARRAG|2|1|1|Macalister/1945|141|cdisc
ARRAG|2|1|2|Cuppage/etal/1986|248|minor
ATHLO|1|1|1|Macalister/1945|78|read
AUQUH|1|1|1|Forsyth/1996|47|sdisc
AUTAG|1|1|1|Macalister/1945|77|read
AUTAG|1|1|2|Macalister/1945|76--77|read
AYWAG|1|1|1|Macalister/1902|50|minor
AYWAG|1|1|1|Macalister/1945|273|read
AYWAG|1|1|1|Ziegler/1994|243|read
BABOR|1|1|1|Macalister/1945|64|read
BABOR|1|1|2|Macalister/1907|95|read
BABOR|2|1|1|Macalister/1907|96|read
BABOR|2|1|1|Macalister/1945|64|minor
BAGLN|1|1|1|Macalister/1949|152|read
BAGLN|1|1|2|Nash-Williams/1950|130|read
BAGLN|1|1|3|RCHAMW/1976|43|read
BAGLN|1|1|3|Redknap/1991|55|read
BAGLN|1|1|4|Rhys/1876|244|read
BAGLN|1|1|5|Redknap/1991|72|illus
BAGLN|1|1|5|Westwood/1851|145|read
BAGLN|1|1|5|Westwood/1879|24|cdisc
BAHAN|1|1|1|Macalister/1945|93--94|read
BAHAN|1|1|1|Petrie/1878|259|read
BAHAN|1|1|1|Power/etal/1997|165|read
BAHAN|1|1|1|Ziegler/1994|259|read
BAHAN|1|1|2|Macalister/1907|78--81|read
BAHAN|1|2|1|Macalister/1945|93--94|read
BAHAN|2|1|1|Macalister/1945|94--96|read
BAHAN|2|1|2|McManus/1991|96|read
BAHAN|2|1|3|Macalister/1907|81--85|read
BAHAN|3|1|1|Macalister/1907|86--89|read
BAHAN|3|1|1|Macalister/1945|96--97|cdisc
BAHAN|3|1|2|McManus/1991|66|read
BAHAN|4|1|1|Macalister/1945|97|cdisc
BAHAN|4|1|1|Ziegler/1994|259|read
BAHAN|4|1|2|McManus/1991|66|read
BAHAN|4|1|3|Macalister/1907|86--87|read
BAHAN|5|1|1|Macalister/1945|98|cdisc
BAHAN|5|1|1|McManus/1991|95|read
BAHAN|5|1|2|Macalister/1907|87--89|read
BAHAN|5|2|1|Macalister/1907|89|minor
BAHAN|5|2|2|Macalister/1945|99--100|minor
BAHAN|6|1|1|Macalister/1945|100--102|cdisc
BAHAN|6|1|1|McManus/1991|65|read
BAHAN|6|1|1|Ziegler/1994|260|read
BAHAN|6|1|2|Macalister/1945|101|cdisc
BAHAN|6|1|2|Ziegler/1994|260|read
BAHAN|6|1|3|Macalister/1907|90, 238|read
BAHAN|6|1|3|Ziegler/1994|260|read
BAHAN|6|2|1|Macalister/1945|100--101|read
BAKIL|1|1|1|Macalister/1949|195|read
BAKIL|2|1|1|Macalister/1949|196|read
BAKIL|3|1|1|Macalister/1949|196|read
BAKIL|4|1|1|Macalister/1949|196|read
BAKIL|5|1|1|Macalister/1949|196|read
BAKNK|1|1|1|Macalister/1907|107--109|read
BAKNK|1|1|1|Macalister/1945|85|read
BAKNK|1|1|1|Ziegler/1994|258|read
BAKNK|1|1|2|McManus/1991|67|read
BAKNK|2|1|1|Macalister/1945|86|read
BAKNK|2|1|2|Gippert/Web|Ogham 83|read
BAKNK|2|1|3|Macalister/1907|109--110|read
BAKNK|3|1|1|Macalister/1907|110--111|cdisc
BAKNK|3|1|1|Macalister/1945|86|cdisc
BAKNK|3|1|1|Ziegler/1994|258|read
BAKNK|4|1|1|Macalister/1907|86|minor
BAKNK|4|1|1|Macalister/1945|86--87|cdisc
BAKNK|4|1|1|McManus/1991|94|read
BAKNK|4|1|1|Ziegler/1994|258|cdisc
BAKNK|4|1|2|Gippert/Web|Ogham 85|sdisc
BAKNK|5|1|1|Macalister/1907|111|cdisc
BAKNK|5|1|1|Macalister/1945|86--87|cdisc
BAKNK|5|1|1|Ziegler/1994|258|read
BAKNK|6|1|1|Macalister/1945|86--87|cdisc
BAKNK|6|1|1|Ziegler/1994|258|read
BAKNK|6|1|2|Macalister/1907|114|cdisc
BAKNK|6|1|2|Ziegler/1994|258|read
BAKNK|7|1|1|Macalister/1907|115|cdisc
BAKNK|7|1|1|Macalister/1945|87--88|cdisc
BAKNK|7|1|1|Ziegler/1994|258|read
BAKNK|7|1|2|McManus/1991|65|cdisc
BAKNK|7|1|3|Gippert/Web|Ogham 88|cdisc
BAKNK|8|1|1|Macalister/1907|116|minor
BAKNK|8|1|1|Macalister/1945|88--89|cdisc
BAKNK|8|1|1|Ziegler/1994|258|read
BAKNK|8|1|2|Macalister/1949|65|read
BAKNK|8|1|3|Gippert/Web|Ogham 89|cdisc
BAKNK|8|1|4|Macalister/1907|116|cdisc
BAKNK|8|1|4|Ziegler/1994|259|read
BAKNK|9|1|1|Macalister/1907|116--117|read
BAKNK|9|1|1|Macalister/1945|89|read
BAKNK|9|1|1|McManus/1991|65|read
BAKNK|10|1|1|Macalister/1945|90--91|read
BAKNK|10|1|1|Ziegler/1994|259|read
BAKNK|10|1|2|Macalister/1907|117--118|read
BAKNK|10|1|2|Ziegler/1994|259|read
BAKNK|11|1|1|McManus/1991|65|read
BAKNK|11|1|1|Ziegler/1994|259|read
BAKNK|11|1|2|Macalister/1907|118|read
BAKNK|11|1|2|Ziegler/1994|259|read
BAKNK|12|1|1|Macalister/1907|118|read
BAKNK|12|1|1|Macalister/1945|91|read
BAKNK|12|1|1|McManus/1991|65|read
BAKNK|12|1|1|Ziegler/1994|259|read
BAKNK|13|1|1|Macalister/1907|118--120|read
BAKNK|13|1|1|Macalister/1945|91|read
BAKNK|13|1|1|Ziegler/1994|259|read
BAKNK|13|1|2|McManus/1991|66|read
BAKNK|13|1|3|Macalister/1907|118--120|cdisc
BAKNK|14|1|1|Macalister/1907|120--121|read
BAKNK|14|1|1|Macalister/1945|92|read
BAKNK|14|1|1|Ziegler/1994|259|list
BAKNK|14|1|2|Gippert/Web|Ogham 95|sdisc
BAKNK|15|1|1|Macalister/1945|92|read
BAKNK|15|1|1|Ziegler/1994|259|read
BAKNK|15|1|2|Macalister/1907|121|read
BAKNK|15|1|2|Ziegler/1994|259|read
BALBA|1|1|1|McManus/1991|76|read
BALBO|1|1|1|Macalister/1945|42|read
BALBO|1|1|1|Ziegler/1994|256|read
BALBO|2|1|1|Macalister/1907|96--97|cdisc
BALBO|2|1|1|Macalister/1945|64|cdisc
BALBO|2|1|1|McManus/1991|171|minor
BALBO|2|1|1|Zeigler/1994|251|read
BALBO|2|1|1|Ziegler/1994|257|read
BALBO|2|1|2|Macalister/1907|94--96|cdisc
BALBO|2|1|2|Ziegler/1994|256|read
BALBR|1|1|1|Macalister/1949|197|read
BALBR|1|1|2|McManus/1991|68|read
BALBR|1|1|3|Macalister/1949|197|read
BALEE|1|1|1|Cuppage/etal/1986|250|read
BALEE|1|1|1|Macalister/1897|51--52|read
BALEE|1|1|1|Macalister/1945|142--144|read
BALEE|1|1|1|Ziegler/1994|263|read
BALEE|1|1|2|Gippert/Web|Ogham 147|read
BALEE|1|1|3|Macalister/1945|65|read
BALGH|1|1|1|Macalister/1945|47--48|minor
BALIG|1|1|1|Macalister/1945|144--145|read
BALIG|1|1|1|McManus/1991|65|read
BALIG|1|1|1|Ziegler/1994|264|read
BALIG|1|1|2|Macalister/1897|27--28|read
BALIG|1|1|2|Ziegler/1994|264|read
BALIG|2|1|1|Macalister/1945|145--146|read
BALIG|2|1|2|Cuppage/etal/1986|251|read
BALIG|2|1|3|Macalister/1897|28|read
BALIG|2|1|3|Ziegler/1994|264|read
BALIG|3|1|1|Macalister/1945|146--147|read
BALIG|3|1|1|Ziegler/1994|264|read
BALIG|3|1|2|McManus/1991|66|read
BALIG|3|1|3|Cuppage/etal/1986|251|read
BALIG|3|1|4|Macalister/1897|28--29|read
BALIG|4|1|1|Macalister/1897|29|read
BALIG|4|1|1|Macalister/1945|147|read
BALIG|4|1|1|McManus/1991|65|read
BALIG|4|1|1|Ziegler/1994|264|read
BALIG|5|1|1|Macalister/1945|147--148|read
BALIG|5|1|2|McManus/1991|67|read
BALIG|5|1|3|Macalister/1897|29--30|read
BALIG|6|1|1|Macalister/1897|30--31|read
BALIG|6|1|1|Macalister/1945|149|read
BALIG|6|1|1|Ziegler/1994|264|read
BALIG|6|1|2|Cuppage/etal/1986|149|read
BALIG|7|1|1|Macalister/1945|149--150|read
BALIG|7|1|2|McManus/1991|66|read
BALIG|8|1|1|Macalister/1945|151|read
BARDS|1|1|1|Anon/1848|363|read
BARDS|1|1|1|Huebner/1876|50|read
BARDS|1|1|1|Westwood/1876|181|read
BARDS|1|1|2|Westwood/1876|182|read
BARDS|1|1|3|Macalister/1949|143|read
BARDS|1|1|4|Nash-Williams/1950|86|read
BARHA|1|1|1|Macalister/1907|123--124|cdisc
BARHA|1|1|1|Macalister/1945|102--103|read
BARHA|1|1|1|Ziegler/1994|260|read
BARHA|1|1|2|Macalister/1907|123--124|read
BARHA|1|1|2|Ziegler/1994|260|read
BARHA|1|1|3|McManus/1991|65|read
BARHA|1|1|4|Gippert/Web|Ogham 103|read
BARM1|1|1|1|ONeil|107|cdisc
BARM1|1|1|2|Macalister/1945|392|cdisc
BARM1|1|1|3|Nash-Williams/1950|167|cdisc
BARM2|1|1|1|Macalister/1945|391|cdisc
BARM2|1|1|2|Nash-Williams/1950|167|cdisc
BARM2|1|1|3|Hubner/1876|45|read
BAROG|1|1|1|Gippert/Web|Ogam 39|read
BAROG|1|1|1|Macalister/1945|44|cdisc
BAROG|1|1|1|Ziegler/1994|141|read
BAVEL|1|1|1|Macalister/1907|218--219|read
BAVEL|1|1|1|Macalister/1945|291|minor
BAVEL|1|1|1|Ziegler/1994|278|read
BAVEL|1|1|2|Macalister/1945|291|read
BAWGL|1|1|1|Macalister/1945|243|read
BAWGL|1|1|1|Ziegler/1994|273|read
BAYEL|1|1|1|Macalister/1907|28--29|read
BAYEL|1|1|2|Macalister/1945|253|read
BCARE|1|1|1|Macalister/1945|54|read
BDAFN|1|1|1|Anon/1912|149|minor
BDAFN|1|1|1|Owen/1896|138|read
BDAFN|1|1|1|RCAHMW/1956|115|read
BDAFN|1|1|2|Anon/1912|149|read
BDAFN|1|1|2|Rhys/1877b|135--136|read
BDAFN|1|1|2|Westwood/1876|182|read
BDAFN|1|1|3|Rhys/1897|140--142|read
BDAFN|1|1|4|Macalister/1945|363|read
BDAFN|1|1|5|Nash-Williams/1950|86|read
BDAFN|1|1|5|RCAHMW/1956|115|other
BDREN|1|1|1|Cuppage/etal/1986|252--253|read
BDREN|1|1|1|Macalister/1902|23--24|read
BDREN|1|1|1|Ziegler/1994|265|read
BDREN|1|1|2|Macalister/1945|161|read
BDREN|2|1|1|Cuppage/etal/1986|44|read
BDREN|2|1|1|Macalister/1945|161|read
BDREN|2|1|1|Ziegler/1994|265|read
BENBR|1|1|1|McManus/1991|75|minor
BGARR|1|1|1|Macalister/1945|253|read
BGLAS|1|1|1|Macalister/1945|53--54|read
BGLAS|1|1|2|Gippert/Web|1997|read
BGLAS|1|2|1|Macalister/1945|53--54|read
BHILL|1|1|1|Macalister/1902|51|read
BHILL|1|1|1|Macalister/1945|244|read
BIISL|1|1|1|Gippert/Web|61|read
BIISL|1|1|1|Macalister/1945|65|read
BIISL|1|1|1|Ziegler/1994|257|read
BIRSY|1|1|1|Forsyth/1996|77--81|sdisc
BIRSY|2|1|1|Forsyth/1996|82--84|sdisc
BISCV|1|1|1|Macalister/1949|183|sdisc
BISCV|1|1|1|Okasha/1993|66|sdisc
BISCV|1|1|2|Langdon/1896|370|read
BISCV|1|1|2|Macalister/1949|183|read
BISCV|1|1|3|Thomas/1994|330|read
BISCV|1|2|1|Okasha/1993|66|read
BISCV|1|2|2|Macalister/1949|183|read
BLFOO|1|1|1|Forsyth/1996|96--97|sdisc
BLFOO|2|1|1|Forsyth/1996|97--99|cdisc
BLHER|1|1|1|Cuppage/etal/1986|252|read
BLHER|1|1|1|Macalister/1945|160|read
BLHER|1|1|1|Ziegler/1994|265|read
BLHUN|1|1|1|Macalister/1897|46|read
BLHUN|1|1|1|Ziegler/1994|266|read
BLHUN|1|1|2|Macalister/1945|164|read
BLHUN|1|1|2|Ziegler/1994|266|read
BLHUN|1|1|3|Cuppage/etal/1986|254|read
BLNIG|1|1|1|Macalister/1897|50--51|read
BLNIG|1|1|1|Macalister/1945|142|read
BLNIG|1|1|1|Ziegler/1994|263|read
BLNIG|1|1|2|Cuppage/etal/1986|256|read
BLTAG|1|1|1|Cuppage/etal/1986|265|read
BLTAG|1|1|1|Gippert/Web|Ogham 155|sdisc
BLTAG|1|1|1|Macalister/1897|32|read
BLTAG|1|1|1|Macalister/1945|151|cdisc
BLTAG|1|1|1|McManus/1991|65|read
BLTAG|1|1|1|Ziegler/1994|264|read
BLTAG|2|1|1|Cuppage/etal/1986|265|read
BLTAG|2|1|1|Macalister/1897|34|read
BLTAG|2|1|1|Ziegler/1994|264|read
BLTAG|2|1|2|Macalister/1945|152|read
BLTAG|3|1|1|Cuppage/etal/1986|265|read
BLTAG|3|1|1|Macalister/1897|34|read
BLTAG|3|1|1|Macalister/1945|153|read
BLTAG|3|1|1|Ziegler/1994|265|read
BLTAG|4|1|1|Cuppage/etal/1986|265|read
BLTAG|4|1|1|Macalister/1897|35|read
BLTAG|4|1|1|Macalister/1945|153|read
BLTAG|4|1|1|McManus/1991|65|read
BLTAG|4|1|1|Ziegler/1994|265|read
BLTAG|4|1|2|Cuppage/etal/1986|265|read
BLTAG|5|1|1|Cuppage/etal/1986|265|read
BLTAG|5|1|1|Macalister/1897|36|read
BLTAG|5|1|1|Macalister/1945|153--154|read
BLTAG|6|1|1|Cuppage/etal/1986|265|read
BLTAG|6|1|1|Macalister/1897|37|read
BLTAG|6|1|1|Macalister/1945|154|read
BLTAG|6|1|1|Ziegler/1994|265|read
BLTAG|6|1|2|Cuppage/etal/1986|265|read
BLTAG|6|2|1|Cuppage/etal/1986|265|read
BLTAG|6|2|1|Macalister/1897|37|read
BLTAG|6|2|1|Macalister/1945|155|read
BLTAG|6|2|1|Ziegler/1994|265|read
BLTAG|7|1|1|Cuppage/etal/1986|265|read
BLTAG|7|1|1|Macalister/1897|39|read
BLTAG|7|1|1|Macalister/1945|155|read
BLTAG|8|1|1|Macalister/1897|39|read
BLTAG|8|1|1|Macalister/1945|156|read
BLTAG|8|1|2|Cuppage/etal/1986|265|read
BLTAG|9|1|1|Macalister/1945|156--157|read
BLTAG|9|1|2|Gippert/Web|Ogham 163|sdisc
BLTAG|9|1|3|Macalister/1897|41--43|cdisc
BLTAG|9|1|3|Ziegler/1994|265|cdisc
BLTAG|9|1|4|Cuppage/etal/1986|265|read
BLTAG|10|1|1|Cuppage/etal/1986|66|minor
BLTER|1|1|1|Macalister/1945|157|read
BLTER|1|1|1|McManus/1991|66|read
BLTER|1|1|2|Cuppage/etal/1986|44|read
BLTER|2|1|1|Macalister/1945|159|read
BLTER|2|1|1|McManus/1991|66|read
BLTER|2|1|2|Cuppage/etal/1986|252|read
BLTER|2|1|2|McManus/1991|66|read
BLVOO|1|1|1|Macalister/1945|266--267|read
BLVOO|2|1|1|Macalister/1945|267--268|read
BLYGH|1|1|1|Cuppage/etal/1986|268|read
BLYGH|1|1|1|Macalister/1945|163|read
BLYGH|1|1|1|McManus/1991|65|read
BLYGH|1|2|1|Macalister/1945|164|read
BODFD|1|1|1|Nash-Williams/1950|55|read
BODFD|1|1|2|Macalister/1945|307|read
BOSKN|1|1|1|Okasha/1993|68--69|read
BOSKN|1|1|2|Thomas/1980|107--108|read
BOSKN|1|1|3|Thomas/1994|271 & 285|read
BOSKN|1|2|1|Thomas/1980|108|sdisc
BOSLW|1|1|1|Macalister/1949|185|read
BOSLW|1|1|2|Okasha/1993|70--72|read
BOSLW|1|1|3|Weatherhill/1981|66|read
BOSLW|1|1|4|Thomas/1994|287|read
BOSWR|1|1|1|Okasha/1993|73--75|read
BOSWR|1|1|2|Thomas/1994|282|read
BOWDN|1|1|1|Okasha/1993|76--77|read
BOWDN|1|1|2|Thomas/1994|281--282|read
BQUIN|1|1|1|Macalister/1945|292|read
BQUIN|1|1|1|McManus/1991|96|read
BQUIN|1|1|1|Ziegler/1994|146, 278|read
BRAGH|1|1|1|Cuppage/etal/1986|253|minor
BRAGH|1|1|1|Macalister/1945|162|minor
BRAGH|2|1|1|Macalister/1945|162--163|read
BRAGH|2|1|1|Ziegler/1994|266|read
BRAGH|2|2|1|Macalister/1945|163|read
BRATT|1|1|1|Forsyth/1996|109--116|sdisc
BRAW1|1|1|1|Nash-Williams/1950|180|read
BRAW1|1|1|2|Macalister/1945|401|read
BRAW1|1|1|3|Macalister/1922|210|read
BRAW1|1|1|4|Allen/Westwood/1884|48--49|sdisc
BRAW1|1|1|5|Rhys/1895a|185|cdisc
BRAW2|1|1|1|Macalister/1945|403|cdisc
BRAW2|1|1|2|Nash-Williams/1950|180|cdisc
BRAW3|1|1|1|Macalister/1945|399|cdisc
BRAW3|1|1|2|Nash-Williams/1950|180|cdisc
BRAW3|1|1|3|Allen/Westwood/1884|49|sdisc
BRAW3|1|2|1|Macalister/1945|399--401|cdisc
BRAW3|1|2|2|Nash-Williams/1950|180|cdisc
BRAW3|1|2|3|Rhys/1895a|184|cdisc
BRAW4|1|1|1|Macalister/1922|210|cdisc
BRAW4|1|1|1|Macalister/1945|402|cdisc
BRAW4|1|1|2|Nash-Williams/1950|180|cdisc
BRAW4|1|1|3|Rhys/1897a|133|cdisc
BRCKN|1|1|1|Cuppage/etal/1986|124|cdisc
BRCKN|1|1|1|Macalister/1945|167|cdisc
BREAS|1|1|1|Macalister/1945|13|read
BREAS|1|1|2|Gippert/Web|Ogham 10|read
BREAS|1|1|4|Macalister/1897|73--75|read
BREAS|1|2|1|Macalister/1928|14--15|cdisc
BREAY|1|1|1|Forsyth/1996|122--126|sdisc
BRHAM|1|1|1|Cuppage/etal/1986|254|minor
BRHAM|1|1|1|Macalister/1945|168|cdisc
BRHAM|1|1|1|Ziegler/1994|266|read
BRHGW|1|1|1|Macalister/1949|10, Plate I|read
BRHKL|1|1|1|McManus/1991|71--72|minor
BRIDE|1|1|1|Kermode/1911|33|read
BRIDE|1|1|1|Kermode/1911-1912|71|read
BRIDE|1|1|1|Thomas/1971|189|read
BRIDE|1|1|2|Macalister/1949|191|read
BRIDE|1|1|2|Thomas/1971|189|read
BRIDE|1|2|1|Kermode/1911|33|read
BRIDE|1|2|1|Kermode/1911-1912|71|read
BRIDE|1|2|1|Kermode/1911-1912b|593--595|read
BRIDE|1|2|1|Macalister/1949|191|read
BRIDE|1|2|1|Thomas/1971|189|read
BRIDE|1|3|1|Kermode/1911-1912|71|read
BRIDE|1|3|2|Kermode/1911|33|read
BRIDE|1|3|3|Macalister/1949|191|read
BRIDE|1|3|3|Thomas/1971|189|read
BRIDE|1|4|1|Kermode/1911|33|read
BRIDE|1|4|1|Kermode/1911-1912|71|read
BRIDE|1|4|2|Macalister/1949|191|read
BRIDE|1|5|1|Macalister/1949|191|read
BRIDE|1|6|1|Kermode/1911-1912|71-72|minor
BRIDL|1|1|1|Macalister/1945|403--404|erad
BRIDL|1|1|2|Nash-Williams/1950|180|read
BRIDL|1|1|3|Brash/1872|251--252|read
BRIDL|1|1|4|Macalister/1922b|23|read
BRIDL|1|1|5|Thomas/1994|71|read
BRMOU|1|1|1|Macalister/1945|167|minor
BROD|1|1|1|Forsyth/1996|147--159|sdisc
BRUGH|1|1|1|Macalister/1949|126|read
BRUGH|1|1|2|Petrie/1878|74|read
BRYNK|1|1|1|Rhys/1903|259|read
BRYNK|1|1|2|Rhys/1907|100|read
BRYNK|1|1|3|Macalister/1945|361|read
BRYNK|1|1|4|Nash-Williams/1950|86|read
BRYNK|1|2|1|Rhys/1907|100|read
BRYNK|1|2|2|Macalister/1945|361|read
BRYNK|1|2|3|Nash-Williams/1950|86|read
BUCKM|1|1|1|Okasha/1993|79--81|read
BURGA|1|1|1|Macalister/1945|81|minor
BURGA|1|1|2|Macalister/1945|81|minor
BURIN|1|1|1|Forsyth/1996|192--205|sdisc
BURNF|1|1|1|Macalister/1945|61|cdisc
BURNF|1|1|1|Ziegler/1994|256|read
BWEEN|1|1|1|Cuppage/etal/1986|194|cdisc
BWEEN|1|1|1|Macalister/1945|165--166|cdisc
BWEEN|1|1|1|Ziegler/1994|266|read
BWEEN|1|1|2|Gippert/Web|Ogham 172|sdisc
CACHU|1|1|1|Macalister/1949|79|read
CALDY|1|1|1|Macalister/1945|405--406|read
CALDY|1|1|2|Nash-Williams/1950|180|read
CALDY|1|2|1|Macalister/1945|406-407|read
CALDY|1|2|2|Nash-Williams/1950|180--182|read
CALDY|1|2|3|Westwood/1855b|258--261|read
CALDY|1|2|3|Westwood/1879|107|read
CALDY|1|2|4|Rhys/1873|7|read
CAMP|1|1|1|Cuppage/etal/1986|254|read
CAMP|1|1|1|Macalister/1945|168|read
CAMP|1|1|1|Ziegler/1994|266|read
CAMP|1|1|2|McManus/1991|65|read
CAMP|1|2|1|Cuppage/etal/1986|254|read
CAMP|1|2|1|Macalister/1945|169|read
CAMP|2|1|1|Cuppage/etal/1986|254|read
CAMP|2|1|1|Macalister/1945|170|read
CAMP|2|1|1|Ziegler/1994|266|read
CAMP|2|2|1|Cuppage/etal/1986|254|read
CAMP|2|2|1|Macalister/1945|169--170|read
