SITE|STONE|INSCRIPTIO|READING|BIB_REF|PAGES|VALUE
CARDM|1|1|1|Macalister/1949|178|read
CARDM|1|1|2|Okasha/1993|85--87|read
CARDM|1|1|3|Langdon/Allen/1895|57 & fig.|read
CARDM|2|1|1|Okasha/1993|90|read
CARDM|2|1|2|Macalister/1945|437|read
CARDM|2|1|3|Thomas/1994|265|sdisc
CAREW|1|1|1|Macalister/1949|170--171|read
CAREW|1|1|2|Nash-Williams/1950|184|read
CAREW|1|1|3|Westwood/1879|120|read
CAREW|1|1|4|Westwood/1879|120|read
CAREW|1|1|5|Radford/1949|253--254|read
CARHA|1|1|1|Macalister/1945|77|read
CARHA|1|1|1|Power/etal/1992|124|read
CARHA|1|1|1|Ziegler/1994|256|read
CARHA|2|1|1|Macalister/1945|78|read
CARHA|2|1|1|Power/etal/1992|124|read
CARHA|3|1|1|Power/etal/1992|124|read
CARIN|1|1|1|Macalister/1945|224|read
CARIN|1|1|1|OSullivan/1996|241|read
CARIN|1|1|1|Ziegler/1994|271|read
CARIN|1|1|2|OSullivan/1996|241|read
CATEM|1|1|1|Wallace/Timoney/1987|60--61|read
CBBRN|1|1|1|Macalister/1949|18, Plate III|read
CBBRN|2|1|1|Macalister/1949|18, Plate IV|read
CBBRN|3|1|1|Macalister/1949|18|read
CBBRN|4|1|1|Macalister/1949|18--19|read
CBRNW|1|1|1|Nash-Williams/1950|63|cdisc
CBRNW|1|1|2|Nash-Williams/1950|63|cdisc
CBRNW|1|1|3|Macalister/1945|311--313|sdisc
CBURG|1|1|1|Forsyth/1996|211|sdisc
CBURG|2|1|1|Forsyth/1996|213--219|sdisc
CBURG|2|2|1|Forsyth, K.,|214--218|sdisc
CBURG|3|1|1|Forsyth/1996|219--226|sdisc
CBURG|4|1|1|Forsyth, K.,|206--207|cdisc
CDWYR|1|1|1|Anon/1898|274|read
CDWYR|1|1|1|Laws/1895|303-307|read
CDWYR|1|1|1|Macalister/1945|342-343|read
CDWYR|1|1|1|McManus/1991|65|read
CDWYR|1|1|1|Nash-Williams/1938|38--39|read
CDWYR|1|1|1|Nash-Williams/1950|107|read
CDWYR|1|1|1|Redknap/1991|53|read
CDWYR|1|1|1|Rhys/1895|307-313|read
CDWYR|1|1|1|Rhys/1896|107-108|read
CDWYR|1|1|1|Rhys/1918|     186|read
CDWYR|1|1|1|Thomas/1994|82|read
CDWYR|1|2|1|Jackson/1953|139|read
CDWYR|1|2|1|Macalister/1945|342--343|read
CDWYR|1|2|1|McManus/1991|65, 90, 98|read
CDWYR|1|2|1|Nash-Williams/1950|107|read
CDWYR|1|2|1|Rhys/1895|307--309|read
CDWYR|1|2|1|Thomas/1994|82|read
CFERT|1|1|1|Petrie/1872|51|read
CFERT|1|1|2|Macalister/1949|3, Plate II|read
CFERT|1|1|3|Higgins/1987|375, Fig. 91, Pl. 31B|read
CFERT|2|1|1|Macalister/1949|3--4, Plate II|read
CFERT|2|1|2|Higgins/1987|338, Fig. 60, Pl. 36A|read
CHEIL|1|1|1|Radford/1937b|cvi|read
CHEIL|1|1|2|Nash-Williams/1950|59|read
CHEIL|1|1|3|Macalister/1945|308|read
CHFLD|1|1|1|Cuppage/etal/1986|254|read
CHFLD|1|1|1|Orpen/1908|15|read
CHLAR|1|1|1|Macalister/1945|33--34|read
CHLAR|1|1|2|McManus/1991|67|minor
CHUIS|1|1|1|McManus/1991|69|read
CHUIS|1|1|2|OKelly/1959|81|read
CHUIS|1|1|3|OSullivan/1996|256, 258|read
CILGN|1|1|1|Macalister/1945|409|read
CILGN|1|1|2|Nash-Williams/1950|184|read
CILGN|1|1|3|Rhys/1873|5|read
CILGN|1|2|1|Macalister/1945|408--409|read
CILGN|1|2|2|Nash-Williams/1950|184|read
CILGN|1|2|3|Rhys/1873|5|read
CILGN|1|2|4|Westwood/1855|9|read
CILGN|1|2|4|Westwood/1879|110|read
CLARD|1|1|1|Petrie/1878|63|read
CLARD|1|1|2|Macalister/1949|39|read
CLARD|1|1|2|Petrie/1878|63|read
CLASH|1|1|1|Lacey/etal/1983|233|minor
CLBON|1|1|1|Macalister/1949|33|read
CLCAH|1|1|1|Macalister/1945|224|read
CLCAH|1|1|1|OSullivan/1996|269|read
CLCAH|1|2|1|Macalister/1945|224|read
CLCAH|1|2|1|OSullivan/1996|269|read
CLGHI|1|1|1|Raftery/1967|219|read
CLHEE|1|1|1|Power/etal/1997|171|read
CLMAC|1|1|1|Macalister/1909|1|read
CLMAC|1|1|1|Macalister/1949|43|read
CLMAC|2|1|1|Macalister/1909|1|read
CLMAC|2|1|1|Macalister/1949|43|read
CLMAC|3|1|1|Macalister/1909|1|read
CLMAC|3|1|1|Macalister/1949|43|read
CLMAC|4|1|1|Macalister/1909|2|read
CLMAC|4|1|1|Macalister/1949|43|read
CLMAC|5|1|1|Macalister/1909|2|read
CLMAC|5|1|1|Macalister/1949|43|read
CLMAC|5|1|1|Petrie/1872|17|read
CLMAC|6|1|1|Macalister/1909|2|read
CLMAC|6|1|1|Macalister/1949|43|read
CLMAC|6|1|2|Petrie/1872|45--46|read
CLMAC|7|1|1|Macalister/1909|2|read
CLMAC|7|1|1|Macalister/1949|43|read
CLMAC|8|1|1|Macalister/1909|2|read
CLMAC|8|1|1|Macalister/1949|43|read
CLMAC|8|1|2|Petrie/1872|72|read
CLMAC|9|1|1|Macalister/1909|2|read
CLMAC|9|1|1|Macalister/1949|43|read
CLMAC|10|1|1|Macalister/1909|2|read
CLMAC|10|1|1|Macalister/1949|44, Plate XI|read
CLMAC|10|1|1|Petrie/1872|70|read
CLMAC|11|1|1|Macalister/1909|3|read
CLMAC|11|1|1|Macalister/1949|44, Plate X|read
CLMAC|12|1|1|Macalister/1909|3|read
CLMAC|12|1|1|Macalister/1949|44, Plate X|read
CLMAC|12|1|2|Petrie/1872|65|read
CLMAC|13|1|1|Macalister/1909|3|read
CLMAC|13|1|1|Macalister/1949|44|read
CLMAC|13|1|1|Manning/1992|9|read
CLMAC|13|1|1|Petrie/1872|68|read
CLMAC|14|1|1|Macalister/1909|3|read
CLMAC|14|1|1|Macalister/1949|44, Plate X|read
CLMAC|15|1|1|Macalister/1909|4|read
CLMAC|15|1|1|Macalister/1949|44|read
CLMAC|16|1|1|Macalister/1909|4|read
CLMAC|16|1|1|Macalister/1949|44, Plate X|read
CLMAC|17|1|1|Macalister/1909|4|read
CLMAC|17|1|1|Macalister/1949|44|read
CLMAC|18|1|1|Macalister/1909|4|read
CLMAC|18|1|1|Macalister/1949|44|cdisc
CLMAC|19|1|1|Lionard/1961|159|read
CLMAC|19|1|1|Macalister/1909|4|read
CLMAC|19|1|1|Macalister/1949|44|read
CLMAC|20|1|1|Macalister/1909|4--5|read
CLMAC|20|1|1|Macalister/1949|44|read
CLMAC|20|1|2|Petrie/1872|73|read
CLMAC|20|1|3|Petrie/1872|73|read
CLMAC|21|1|1|Macalister/1909|5|read
CLMAC|21|1|1|Macalister/1949|44|read
CLMAC|21|1|1|Petrie/1872|31|read
CLMAC|21|1|2|Macalister/1949|44|read
CLMAC|22|1|1|Macalister/1909|5|read
CLMAC|22|1|1|Macalister/1949|45|read
CLMAC|22|1|2|Petrie/1872|29|read
CLMAC|23|1|1|Macalister/1909|5|read
CLMAC|23|1|1|Macalister/1949|45|read
CLMAC|23|1|1|Petrie/1872|31|read
CLMAC|24|1|1|Macalister/1909|5--6|read
CLMAC|24|1|1|Macalister/1949|45|read
CLMAC|24|1|1|Petrie/1872|70|read
CLMAC|25|1|1|Macalister/1909|6|read
CLMAC|25|1|1|Macalister/1949|45|read
CLMAC|25|1|1|Petrie/1872|27|read
CLMAC|26|1|1|Macalister/1909|6|read
CLMAC|26|1|1|Macalister/1949|45|read
CLMAC|26|1|2|Macalister/1909|6|read
CLMAC|26|1|3|Petrie/1872|33|read
CLMAC|27|1|1|Macalister/1909|6|read
CLMAC|27|1|1|Macalister/1949|45|read
CLMAC|27|1|1|Petrie/1872|27|read
CLMAC|28|1|1|Macalister/1909|6|read
CLMAC|28|1|1|Macalister/1949|45|read
CLMAC|28|1|1|Petrie/1872|45|read
CLMAC|29|1|1|Macalister/1909|7|read
CLMAC|29|1|1|Macalister/1949|45|read
CLMAC|29|1|1|Petrie/1872|21|read
CLMAC|30|1|1|Macalister/1909|8|read
CLMAC|30|1|1|Macalister/1949|46|read
CLMAC|31|1|1|Macalister/1909|8|read
CLMAC|31|1|1|Macalister/1949|46|read
CLMAC|32|1|1|Macalister/1909|8|read
CLMAC|32|1|1|Macalister/1949|46|read
CLMAC|33|1|1|Macalister/1909|9|read
CLMAC|33|1|1|Macalister/1949|46|read
CLMAC|33|1|2|Petrie/1872|23|read
CLMAC|34|1|1|Macalister/1909|9|read
CLMAC|34|1|1|Macalister/1949|46|read
CLMAC|35|1|1|Macalister/1909|9--10|read
CLMAC|35|1|1|Macalister/1949|46|read
CLMAC|36|1|1|Macalister/1909|10|read
CLMAC|36|1|2|Macalister/1949|46|read
CLMAC|37|1|1|Petrie/1872|37|read
CLMAC|37|1|2|Macalister/1909|10|read
CLMAC|37|1|2|Macalister/1949|46|read
CLMAC|37|1|3|Petrie/1872|37|read
CLMAC|38|1|1|Macalister/1909|11|read
CLMAC|38|1|1|Macalister/1949|46|read
CLMAC|38|1|1|Petrie/1872|15|read
CLMAC|39|1|1|Petrie/1872|42|read
CLMAC|39|1|2|Macalister/1909|11|read
CLMAC|39|1|2|Macalister/1949|46|read
CLMAC|40|1|1|Lionard/1961|159|read
CLMAC|40|1|1|Macalister/1909|11|read
CLMAC|40|1|1|Macalister/1949|46|read
CLMAC|40|1|1|Petrie/1872|52|read
CLMAC|41|1|1|Macalister/1909|11--12|read
CLMAC|41|1|1|Macalister/1949|47|read
CLMAC|41|1|2|Macalister/1909|11--12|read
CLMAC|42|1|1|Macalister/1909|12|read
CLMAC|42|1|2|Macalister/1949|47|read
CLMAC|43|1|1|Macalister/1909|12|read
CLMAC|43|1|1|Macalister/1949|47|read
CLMAC|44|1|1|Macalister/1909|12|read
CLMAC|44|1|1|Macalister/1949|47|read
CLMAC|44|1|2|Petrie/1872|22|read
CLMAC|45|1|1|Lionard/1961|162|read
CLMAC|45|1|1|Macalister/1909|13|read
CLMAC|45|1|1|Macalister/1949|47|read
CLMAC|45|1|1|Petrie/1872|36|read
CLMAC|46|1|1|Macalister/1909|13|read
CLMAC|46|1|1|Macalister/1949|47|read
CLMAC|46|1|1|Petrie/1872|34|read
CLMAC|47|1|1|Macalister/1909|13|read
CLMAC|47|1|1|Macalister/1949|47|read
CLMAC|47|1|1|Petrie/1872|Fig. 63|illus
CLMAC|47|1|2|Petrie/1872|34|read
CLMAC|48|1|1|Macalister/1909|14|read
CLMAC|48|1|1|Macalister/1949|47|read
CLMAC|49|1|1|Macalister/1909|14|read
CLMAC|49|1|1|Macalister/1949|47|read
CLMAC|50|1|1|Macalister/1909|14|read
CLMAC|50|1|1|Macalister/1949|47|read
CLMAC|50|1|1|Petrie/1872|26|read
CLMAC|51|1|1|Macalister/1909|14|read
CLMAC|51|1|1|Macalister/1949|47|read
CLMAC|51|1|1|Petrie/1872|23|read
CLMAC|51|1|2|Graves/1800|inc|read
CLMAC|52|1|1|Macalister/1909|14--15|read
CLMAC|52|1|1|Macalister/1949|48|read
CLMAC|53|1|1|Macalister/1909|15|read
CLMAC|53|1|2|Macalister/1949|48|read
CLMAC|54|1|1|Macalister/1909|15|read
CLMAC|54|1|1|Macalister/1949|48|read
CLMAC|54|1|1|Petrie/1872|20|read
CLMAC|55|1|1|Macalister/1909|16|read
CLMAC|55|1|1|Macalister/1949|48|read
CLMAC|56|1|1|Macalister/1909|16|read
CLMAC|56|1|1|Macalister/1949|48|read
CLMAC|56|1|1|Petrie/1872|36|read
CLMAC|56|1|2|Macalister/1909|16|read
CLMAC|57|1|1|Macalister/1909|16|read
CLMAC|57|1|1|Macalister/1949|48|read
CLMAC|58|1|1|Macalister/1909|16|read
CLMAC|58|1|1|Macalister/1949|48|read
CLMAC|58|1|1|Petrie/1872|46, Plate XXXVII|read
CLMAC|59|1|1|Petrie/1872|39|read
CLMAC|59|1|2|Macalister/1909|17|read
CLMAC|59|1|2|Macalister/1949|48|read
CLMAC|60|1|1|Macalister/1909|17|read
CLMAC|60|1|1|Macalister/1949|49|read
CLMAC|60|1|1|Petrie/1872|26|read
CLMAC|61|1|1|Macalister/1909|17|read
CLMAC|61|1|1|Macalister/1949|49|read
CLMAC|61|1|2|Macalister/1909|17|read
CLMAC|61|1|2|Petrie/1872|49|read
CLMAC|62|1|1|Macalister/1899|120|read
CLMAC|62|1|1|Macalister/1909|18|read
CLMAC|62|1|1|Macalister/1949|49|read
CLMAC|63|1|1|Macalister/1909|18|read
CLMAC|63|1|1|Macalister/1949|49|read
CLMAC|64|1|1|Macalister/1909|18|read
CLMAC|64|1|1|Macalister/1949|49|read
CLMAC|64|1|1|Petrie/1872|22|read
CLMAC|65|1|1|Macalister/1909|18|read
CLMAC|65|1|1|Macalister/1949|49|read
CLMAC|65|1|2|Petrie/1872|38|read
CLMAC|66|1|1|Macalister/1909|18|read
CLMAC|66|1|1|Macalister/1949|49|read
CLMAC|66|1|2|Petrie/1872|30|read
CLMAC|67|1|1|Macalister/1909|Plate XIV|read
CLMAC|67|1|1|Macalister/1949|49|read
CLMAC|67|1|2|Macalister/1909|18|read
CLMAC|67|1|2|Petrie/1872|39|read
CLMAC|68|1|1|Petrie/1872|69|read
CLMAC|68|1|2|Macalister/1909|19|read
CLMAC|68|1|2|Macalister/1949|49|read
CLMAC|69|1|1|Petrie/1872|57|read
CLMAC|69|1|2|Macalister/1909|19|read
CLMAC|69|1|3|Lionard/1961|164|read
CLMAC|69|1|3|Macalister/1949|49|read
CLMAC|70|1|1|Petrie/1872|44|read
CLMAC|70|1|2|Macalister/1909|19|read
CLMAC|70|1|2|Macalister/1949|50|read
CLMAC|71|1|1|Petrie/1872|52|read
CLMAC|71|1|2|Macalister/1909|20|read
CLMAC|71|1|3|Macalister/1949|50|read
CLMAC|72|1|1|Macalister/1909|20|read
CLMAC|72|1|2|Macalister/1949|50|read
CLMAC|73|1|1|Macalister/1909|20|read
CLMAC|73|1|1|Macalister/1949|50|read
CLMAC|74|1|1|Petrie/1872|34|read
CLMAC|74|1|2|Macalister/1909|20|read
CLMAC|74|1|2|Macalister/1949|50|read
CLMAC|75|1|1|Petrie/1872|25|read
CLMAC|75|1|2|Macalister/1909|20|read
CLMAC|75|1|2|Macalister/1949|50|read
CLMAC|76|1|1|Petrie/1872|17, Plate II|read
CLMAC|76|1|2|Macalister/1909|21|read
CLMAC|76|1|3|Macalister/1949|50|read
CLMAC|77|1|1|Macalister/1909|21|read
CLMAC|77|1|1|Macalister/1949|50|read
CLMAC|78|1|1|Petrie/1872|26|read
CLMAC|78|1|2|Macalister/1909|22|read
CLMAC|78|1|2|Macalister/1949|50|read
CLMAC|79|1|1|Petrie/1872|18|read
CLMAC|79|1|2|Macalister/1909|22|read
CLMAC|79|1|2|Macalister/1949|50|read
CLMAC|80|1|1|Macalister/1909|22|read
CLMAC|80|1|1|Macalister/1949|50|read
CLMAC|80|1|1|Petrie/1872|37|read
CLMAC|81|1|1|Macalister/1909|22|read
CLMAC|81|1|1|Macalister/1949|50|read
CLMAC|81|1|1|Petrie/1872|25|read
CLMAC|82|1|1|Petrie/1872|32|read
CLMAC|82|1|2|Macalister/1909|22|read
CLMAC|82|1|2|Macalister/1949|50|read
CLMAC|83|1|1|Macalister/1899|119|read
CLMAC|83|1|2|Macalister/1909|23|read
CLMAC|83|1|2|Macalister/1949|51|read
CLMAC|84|1|1|Petrie/1872|32--33|read
CLMAC|84|1|2|Macalister/1909|23|read
CLMAC|84|1|2|Macalister/1949|51|read
CLMAC|85|1|1|Petrie/1872|18|read
CLMAC|85|1|2|Macalister/1909|23|read
CLMAC|85|1|3|Macalister/1949|51|read
CLMAC|86|1|1|Petrie/1872|28|read
CLMAC|86|1|2|Macalister/1909|23|read
CLMAC|86|1|2|Macalister/1949|51|read
CLMAC|87|1|1|Petrie/1872|50, Plate XL|read
CLMAC|87|1|2|Macalister/1909|24|read
CLMAC|87|1|2|Macalister/1949|51|read
CLMAC|88|1|1|Petrie/1872|24|read
CLMAC|88|1|2|Macalister/1909|24|read
CLMAC|88|1|2|Macalister/1949|51|read
CLMAC|89|1|1|Macalister/1909|25|read
CLMAC|89|1|1|Macalister/1949|52|read
CLMAC|89|1|1|Petrie/1872|21|read
CLMAC|90|1|1|Macalister/1909|25|read
CLMAC|90|1|1|Macalister/1949|52|read
CLMAC|91|1|1|Petrie/1872|20, Plate VII|read
CLMAC|91|1|2|Macalister/1909|25|read
CLMAC|91|1|3|Macalister/1949|52, Plate XXVI|read
CLMAC|92|1|1|Petrie/1872|38|read
CLMAC|92|1|2|Macalister/1909|26|read
CLMAC|92|1|3|Macalister/1949|52|read
CLMAC|92|2|1|Macalister/1909|38|read
CLMAC|92|2|1|Macalister/1949|58|read
CLMAC|92|2|1|Petrie/1872|24|read
CLMAC|93|1|1|Petrie/1872|54, Plate XLV|read
CLMAC|93|1|2|Macalister/1909|26|read
CLMAC|93|1|2|Macalister/1949|52|read
CLMAC|94|1|1|Macalister/1909|26|read
CLMAC|94|1|1|Macalister/1949|52|read
CLMAC|94|1|2|Macalister/1909|26|read
CLMAC|94|1|2|Macalister/1949|52|read
CLMAC|95|1|1|Macalister/1909|27|read
CLMAC|95|1|1|Macalister/1949|53|read
CLMAC|95|1|1|Petrie/1872|75|read
CLMAC|96|1|1|Macalister/1909|27|read
CLMAC|96|1|1|Macalister/1949|53|read
CLMAC|96|1|1|Petrie/1872|26|read
CLMAC|97|1|1|Petrie/1872|15|read
CLMAC|97|1|2|Macalister/1909|27|read
CLMAC|97|1|2|Macalister/1949|53|read
CLMAC|98|1|1|Macalister/1899|119|read
CLMAC|98|1|1|Macalister/1909|27|read
CLMAC|98|1|1|Macalister/1949|53|read
CLMAC|99|1|1|Macalister/1909|27|read
CLMAC|99|1|1|Macalister/1949|53|read
CLMAC|100|1|1|Petrie/1872|50|read
CLMAC|100|1|2|Macalister/1909|27|read
CLMAC|100|1|2|Macalister/1949|53|read
CLMAC|101|1|1|Petrie/1872|63|read
CLMAC|101|1|2|Macalister/1909|28|read
CLMAC|101|1|2|Macalister/1949|53|read
CLMAC|102|1|1|Macalister/1909|28|read
CLMAC|102|1|1|Macalister/1949|53|read
CLMAC|103|1|1|Macalister/1909|28|read
CLMAC|103|1|1|Macalister/1949|53|read
CLMAC|104|1|1|Petrie/1872|62|read
CLMAC|104|1|2|Macalister/1909|28|read
CLMAC|104|1|2|Macalister/1949|53|read
CLMAC|105|1|1|Macalister/1909|28|read
CLMAC|105|1|1|Macalister/1949|54|read
CLMAC|105|1|1|Petrie/1872|41|read
CLMAC|106|1|1|Petrie/1872|63|read
CLMAC|106|1|2|Macalister/1909|29|read
CLMAC|106|1|2|Macalister/1949|54|read
CLMAC|107|1|1|Macalister/1909|29|read
CLMAC|107|1|1|Macalister/1949|54, Plate XXVI|read
CLMAC|108|1|1|Petrie/1872|61|read
CLMAC|108|1|2|Macalister/1909|29|read
CLMAC|108|1|2|Macalister/1949|54|read
CLMAC|109|1|1|Petrie/1872|62|read
CLMAC|109|1|2|Macalister/1909|29|read
CLMAC|109|1|3|Macalister/1949|54|read
CLMAC|110|1|1|Macalister/1909|30|read
CLMAC|110|1|1|Macalister/1949|54|read
CLMAC|110|1|1|Petrie/1872|55|read
CLMAC|111|1|1|Macalister/1909|30|read
CLMAC|111|1|1|Macalister/1949|54|read
CLMAC|112|1|1|Macalister/1909|30|read
CLMAC|112|1|1|Macalister/1949|54|read
CLMAC|112|1|1|Petrie/1872|61|read
CLMAC|113|1|1|Macalister/1909|30|read
CLMAC|113|1|1|Macalister/1949|54|read
CLMAC|113|1|1|Petrie/1872|61|read
CLMAC|114|1|1|Macalister/1909|30|read
CLMAC|114|1|1|Macalister/1949|54|read
CLMAC|114|1|1|Petrie/1872|65|read
CLMAC|115|1|1|Petrie/1872|66|read
CLMAC|115|1|2|Macalister/1909|30|read
CLMAC|115|1|2|Macalister/1949|55|read
CLMAC|116|1|1|Macalister/1909|31|read
CLMAC|116|1|1|Macalister/1949|55|read
CLMAC|116|1|1|Petrie/1872|68|read
CLMAC|117|1|1|Macalister/1909|31|read
CLMAC|117|1|1|Petrie/1872|50|read
CLMAC|117|1|2|Macalister/1949|55|read
CLMAC|118|1|1|Macalister/1909|31--32|read
CLMAC|118|1|1|Macalister/1949|55|read
CLMAC|118|1|1|Petrie/1872|64|read
CLMAC|119|1|1|Petrie/1872|71|read
CLMAC|119|1|2|Macalister/1909|32|read
CLMAC|119|1|2|Macalister/1949|55|read
CLMAC|119|1|3|Macalister/1949|55|read
CLMAC|120|1|1|Petrie/1872|60|read
CLMAC|120|1|2|Macalister/1909|32|read
CLMAC|120|1|2|Macalister/1949|55|read
CLMAC|121|1|1|Macalister/1909|33|read
CLMAC|121|1|1|Macalister/1949|55|read
CLMAC|121|1|1|Petrie/1872|59|read
CLMAC|122|1|1|Macalister/1909|33|read
CLMAC|122|1|1|Macalister/1949|55|read
CLMAC|123|1|1|Macalister/1909|33|read
CLMAC|123|1|1|Macalister/1949|55|read
CLMAC|123|1|1|Petrie/1872|38|read
CLMAC|124|1|1|Macalister/1909|33, Plate XXXVII|read
CLMAC|124|1|1|Macalister/1949|56|read
CLMAC|124|1|1|Petrie/1872|44, Plate XXXV|read
CLMAC|125|1|1|Macalister/1909|34|read
CLMAC|125|1|1|Macalister/1949|56|read
CLMAC|125|1|1|Petrie/1872|75|read
CLMAC|126|1|1|Macalister/1909|34|read
CLMAC|126|1|1|Macalister/1949|56|read
CLMAC|127|1|1|Petrie/1872|58|read
CLMAC|127|1|2|Macalister/1909|34|read
CLMAC|127|1|2|Macalister/1949|56|read
CLMAC|128|1|1|Macalister/1909|34|read
CLMAC|128|1|2|Macalister/1949|56|read
CLMAC|129|1|1|Petrie/1872|58, Plate XLIX|read
CLMAC|129|1|2|Macalister/1909|35|read
CLMAC|129|1|2|Macalister/1949|56|read
CLMAC|130|1|1|Macalister/1909|35|read
CLMAC|130|1|1|Macalister/1949|56|read
CLMAC|130|1|1|Petrie/1872|46|read
CLMAC|131|1|1|Macalister/1909|35|read
CLMAC|131|1|1|Macalister/1949|56|read
CLMAC|132|1|1|Macalister/1909|35|read
CLMAC|132|1|1|Macalister/1949|57, Plate XXXII|read
CLMAC|132|1|1|Petrie/1872|67, Plate LXIII, Fig. 151|read
CLMAC|133|1|1|Macalister/1909|35|read
CLMAC|133|1|1|Macalister/1949|57|read
CLMAC|133|1|1|Petrie/1872|53|read
CLMAC|134|1|1|Macalister/1909|36|read
CLMAC|134|1|1|Macalister/1949|57|read
CLMAC|135|1|1|Macalister/1909|36|read
CLMAC|135|1|1|Macalister/1949|57|read
CLMAC|136|1|1|Macalister/1909|36|read
CLMAC|136|1|2|Macalister/1949|57, Plate XXXIII|read
CLMAC|137|1|1|Petrie/1872|74|read
CLMAC|137|1|2|Macalister/1909|36|read
CLMAC|137|1|2|Macalister/1949|57|read
CLMAC|138|1|1|Petrie/1872|74, Plate LXXII|read
CLMAC|138|1|2|Macalister/1909|36|read
CLMAC|138|1|2|Macalister/1949|57|read
CLMAC|139|1|1|Petrie/1872|49|read
CLMAC|139|1|2|Macalister/1909|36--37, Plate XXVIII|read
CLMAC|139|1|2|Macalister/1949|57, Plate XIX|read
CLMAC|140|1|1|Petrie/1872|63|read
CLMAC|140|1|2|Macalister/1909|37|read
CLMAC|140|1|2|Macalister/1949|57|read
CLMAC|141|1|1|Petrie/1872|67|read
CLMAC|141|1|2|Macalister/1909|37|read
CLMAC|141|1|2|Macalister/1949|58|read
CLMAC|142|1|1|Macalister/1909|37|read
CLMAC|142|1|1|Macalister/1949|58|read
CLMAC|142|1|1|Petrie/1872|70, Plate LXVI|read
CLMAC|143|1|1|Macalister/1909|38|read
CLMAC|143|1|1|Macalister/1949|58|read
CLMAC|143|1|1|Petrie/1872|51|read
CLMAC|144|1|1|Macalister/1909|38|read
CLMAC|144|1|1|Macalister/1949|58|read
CLMAC|144|1|1|Petrie/1872|66|read
CLMAC|145|1|1|Petrie/1872|24|read
CLMAC|145|1|2|Macalister/1909|38|read
CLMAC|145|1|2|Macalister/1949|58|read
CLMAC|146|1|1|Macalister/1909|39|read
CLMAC|146|1|1|Macalister/1949|59|read
CLMAC|146|1|1|Petrie/1872|74|read
CLMAC|147|1|1|Macalister/1909|39|read
CLMAC|147|1|1|Petrie/1872|62|read
CLMAC|147|1|2|Macalister/1909|39|read
CLMAC|147|1|2|Macalister/1949|59|read
CLMAC|148|1|1|Petrie/1872|22|read
CLMAC|148|1|2|Macalister/1909|39|read
CLMAC|148|1|3|Macalister/1949|59|read
CLMAC|149|1|1|Petrie/1872|72|read
CLMAC|149|1|2|Macalister/1909|40|read
CLMAC|149|1|2|Macalister/1949|59|read
CLMAC|150|1|1|Macalister/1909|40|read
CLMAC|150|1|2|Macalister/1949|59|read
CLMAC|151|1|1|Macalister/1909|40|read
CLMAC|151|1|2|Macalister/1949|59|read
CLMAC|152|1|1|Lionard/1961|Plate XXVI|read
CLMAC|152|1|1|Macalister/1909|42|read
CLMAC|152|1|1|Macalister/1949|59|read
CLMAC|152|1|1|Manning/Moore/1991|11|read
CLMAC|152|1|1|Petrie/1872|4|read
CLMAC|152|2|1|Lionard/1961|Plate XXVI|read
CLMAC|152|2|1|Macalister/1909|42|read
CLMAC|152|2|1|Macalister/1949|59|read
CLMAC|152|2|1|Manning/Moore/1991|11|read
CLMAC|152|2|1|McManus/1991|131|read
CLMAC|152|2|1|Petrie/1872|16|read
CLMAC|153|1|1|Macalister/1909|42|read
CLMAC|153|1|1|Macalister/1949|60|read
CLMAC|153|1|1|Petrie/1872|16|read
CLMAC|154|1|1|Macalister/1909|42|read
CLMAC|154|1|1|Macalister/1949|60|read
CLMAC|154|1|1|Petrie/1872|17|read
CLMAC|155|1|1|Macalister/1909|42|read
CLMAC|155|1|1|Macalister/1949|60|read
CLMAC|155|1|1|Petrie/1872|17|read
CLMAC|156|1|1|Petrie/1872|19, Plate V, Fig.13|cdisc
CLMAC|157|1|1|Macalister/1909|42|list
CLMAC|157|1|1|Macalister/1949|60|list
CLMAC|157|1|1|Petrie/1872|19, Plate V, Fig.14|cdisc
CLMAC|157|1|2|Macalister/1909|43|list
CLMAC|158|1|1|Macalister/1909|43|list
CLMAC|158|1|1|Macalister/1949|60|list
CLMAC|158|1|1|Petrie/1872|19, Plate V, Fig. 15|cdisc
CLMAC|159|1|1|Macalister/1909|43|list
CLMAC|159|1|1|Macalister/1949|60|list
CLMAC|159|1|1|Petrie/1872|19--20, Plate VI, Fig. 16|
CLMAC|161|1|1|Petrie/1872|20|cdisc
CLMAC|161|1|2|Macalister/1909|43|list
CLMAC|161|1|3|Macalister/1949|60|list
CLMAC|162|1|1|Petrie/1872|23|minor
CLMAC|162|1|2|Macalister/1909|43|list
CLMAC|162|1|2|Macalister/1949|60|list
CLMAC|163|1|1|Macalister/1909|43|list
CLMAC|163|1|1|Macalister/1949|43|list
CLMAC|163|1|1|Petrie/1872|24, Plate XIV, Fig. 33|other
CLMAC|165|1|1|Macalister/1909|43|list
CLMAC|165|1|1|Macalister/1949|60|list
CLMAC|165|1|1|Petrie/1872|25|minor
CLMAC|166|1|1|Macalister/1909|60|list
CLMAC|166|1|1|Macalister/1949|60|list
CLMAC|166|1|1|Petrie/1872|26, Plate XV, Fig. 38|minor
CLMAC|167|1|1|Macalister/1909|43|list
CLMAC|167|1|1|Macalister/1949|61|list
CLMAC|167|1|1|Petrie/1872|27|minor
CLMAC|169|1|1|Macalister/1909|44|list
