SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
CALDY|1|Nash-Williams/1950|180--182, Plate XXIII, Fig. 193||yes|no|yes|cdisc
CALDY|1|RCHAMW/1925|40--41||yes|no|yes|cdisc
CALDY|1|Rhys/1873|7||no|no|no|minor
CALDY|1|Westwood/1855b|258--261||no|no|yes|sdisc
CALDY|1|Westwood/1879|106--107||no|no|yes|cdisc
CAMP|1|Cuppage/etal/1986|254||no|no|no|cdisc
CAMP|1|Macalister/1945|168--169||no|no|no|cdisc
CAMP|2|Cuppage/etal/1986|254||no|no|no|minor
CAMP|2|Macalister/1945|169--170||no|no|yes|minor
CARDM|1|Langdon/1896|354--357, plate|drawing|yes|no|no|sdisc
CARDM|1|Macalister/1949|178, plate LXI|none|no|no|no|sdisc
CARDM|1|Okasha/1993|85--87|photograph|yes|no|no|sdisc
CARDM|2|Langdon/1896|226|none|no|no|no|sdisc
CARDM|2|Macalister/1945|435--436|none|no|no|yes|sdisc
CARDM|2|Okasha/1993|88--90|photograph|yes|no|no|sdisc
CAREW|1|Huebner/1876|34||no|no|no|list
CAREW|1|Macalister/1949|169--171||no|no|no|cdisc
CAREW|1|Nash-Williams/1950|182--184, Plate XLI, Fig. 196||yes|no|yes|sdisc
CAREW|1|RCHAMW/1925|50||yes|no|yes|cdisc
CAREW|1|Rhys/1895a|186||no|no|no|minor
CAREW|1|Rhys/1896|107||no|no|no|minor
CAREW|1|RomillyAllen/1896|292, 303||no|no|no|list
CAREW|1|Westwood/1879|119--120, Plate LVII||no|no|yes|sdisc
CARHA|1|Macalister/1945|77--78||no|no|no|minor
CARHA|1|Power/etal/1992|124||no|no|no|minor
CARHA|2|Macalister/1945|77--78||no|no|no|minor
CARHA|2|Power/etal/1992|124||no|no|no|minor
CARHA|3|Power/etal/1992|124||no|no|no|minor
CARIN|1|Macalister/1945|223--224||no|no|yes|cdisc
CARIN|1|OSullivan/1996|240--241||no|no|yes|cdisc
CATEM|1|Wallace/Timoney/1987|60--61, Fig. 2.24||yes|no|no|minor
CBBRN|1|Macalister/1949|18, Plate III||no|no|yes|cdisc
CBBRN|1|Petrie/1872|52, Plate XLIII||no|no|yes|cdisc
CBBRN|2|Macalister/1949|18, Plate IV||no|no|yes|minor
CBBRN|2|Petrie/1872|52||no|no|yes|cdisc
CBBRN|3|Macalister/1949|18||no|no|no|cdisc
CBBRN|3|Petrie/1872|52, Plate XLIII||no|no|yes|cdisc
CBBRN|4|Macalister/1949|18--19||no|no|no|cdisc
CBBRN|4|Petrie/1872|52, Plate XLIII||no|no|yes|cdisc
CBRNW|1|Macalister/1945|311--313||no|no|no|sdisc
CBRNW|1|Nash-Williams/1950|63, Plates Ii, VI, Fig. 36||no|no|yes|sdisc
CBURG|1|Forsyth/1996|209--212||yes|yes|yes|sdisc
CBURG|2|Forsyth/1996|213--219||yes|yes|yes|sdisc
CBURG|3|Forsyth/1996|219--226||yes|yes|yes|sdisc
CBURG|4|Forsyth/1996|206--207||no|no|no|cdisc
CDWYR|1|Alcock/1987|Plate 27a||yes|no|no|illus
CDWYR|1|Anon/1898|274|no|no|no|no|cdisc
CDWYR|1|Anon/1922b|24b-26b|yes|yes|no|yes|other
CDWYR|1|Dark/1994|82|   yes|yes|no|no|illus
CDWYR|1|Laws/1895|303-307|yes|no|no|yes|sdisc
CDWYR|1|Macalister/1945|342--343|   yes|no|no|yes|cdisc
CDWYR|1|Nash-Williams/1936|78|   no|no|no|no|list
CDWYR|1|Nash-Williams/1950|107, Plate III|   yes|yes|no|yes|cdisc
CDWYR|1|Rhys/1896|107--110|no|no|no|no|sdisc
CDWYR|1|Thomas/1994|82-83|fig 6.5|no|no|yes|cdisc
CFERT|1|Higgins/1987|337, Fig. 91, Pl. 31B||yes|no|yes|cdisc
CFERT|1|Macalister/1949|3, Plate II||no|no|yes|cdisc
CFERT|2|Higgins/1987|338, Fig. 60, Plate 36A||yes|no|yes|sdisc
CFERT|2|Macalister/1949|3--4, Plate II||no|no|yes|cdisc
CHEIL|1|Macalister/1945|308||no|no|no|cdisc
CHEIL|1|Radford/1937b|civ--cv||no|no|yes|cdisc
CHFLD|1|Cuppage/etal/1986|254||no|no|no|cdisc
CHFLD|1|Orpen/1908|15||no|no|no|cdisc
CHLAR|1|Macalister/1945|33--34||yes|no|yes|cdisc
CHUIS|1|McManus/1991|69||no|no|no|cdisc
CHUIS|1|OKelly/1959|77-81, Plate X||yes|no|yes|sdisc
CHUIS|1|OSullivan/1996|256, 258||no|no|yes|cdisc
CILGN|1|Anon/1859a|340||no|no|no|minor
CILGN|1|Huebner/1876|38||no|no|yes|list
CILGN|1|Macalister/1922b|23||no|no|no|minor
CILGN|1|Macalister/1945|408--409||no|no|yes|cdisc
CILGN|1|Nash-Williams/1950|184, Plate IV||yes|no|no|cdisc
CILGN|1|RCHAMW/1925|69||yes|no|no|list
CILGN|1|Rhys/1873|5||no|no|no|minor
CILGN|1|Rhys/1918|187||no|no|no|minor
CILGN|1|RomillyAllen/1896|291, 298||no|no|no|list
CILGN|1|Westwood/1855|9--10||no|no|yes|cdisc
CILGN|1|Westwood/1879|110--111||no|no|yes|cdisc
CLARD|1|Macalister/1949|39||no|no|no|cdisc
CLARD|1|Petrie/1878|63, Plate XXXVI||no|no|yes|cdisc
CLASH|1|Lacy/etal/1983|233||no|no|no|minor
CLBON|1|Macalister/1949|33, Plate VIII||no|no|yes|list
CLCAH|1|Macalister/1945|224||no|no|no|cdisc
CLCAH|1|OSullivan/1996|267--269||no|yes|yes|cdisc
CLGHI|1|Raftery/1967|219||no|no|yes|cdisc
CLHEE|1|Power/etal/1997|171||no|no|no|cdisc
CLMAC|1|Macalister/1909|1, Plate I||no|no|yes|cdisc
CLMAC|1|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|2|Macalister/1909|1, Plate I||no|no|yes|cdisc
CLMAC|2|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|3|Macalister/1909|1, Plate I||no|no|yes|cdisc
CSKEE|1|Koralev||||||
CLMAC|3|Macalister/1949|43, Plate 10||no|no|yes|cdisc
CLMAC|4|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|4|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|5|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|5|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|5|Petrie/1872|17, Plate III||no|no|yes|cdisc
CLMAC|6|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|6|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|6|Petrie/1872|45-46, Plate XXXVI||no|no|yes|cdisc
CLMAC|7|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|7|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|8|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|8|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|8|Petrie/1872|72, Plate LXX||no|no|yes|cdisc
CLMAC|9|Macalister/1899|118--119||no|no|no|list
CLMAC|9|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|9|Macalister/1949|43, Plate X||no|no|yes|cdisc
CLMAC|10|Macalister/1909|2, Plate I||no|no|yes|cdisc
CLMAC|10|Macalister/1949|44, Plate XI||no|no|yes|cdisc
CLMAC|10|Petrie/1872|70, Plate LXVII||no|no|yes|cdisc
CLMAC|11|Macalister/1899|119||no|no|no|list
CLMAC|11|Macalister/1909|3, Plate II||no|no|yes|cdisc
CLMAC|11|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|12|Macalister/1909|3, Plate II||no|no|yes|cdisc
CLMAC|12|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|12|Petrie/1872|65, Plate LX||no|no|yes|cdisc
CLMAC|13|Macalister/1909|3, Plate II||no|no|yes|cdisc
CLMAC|13|Macalister/1949|44, Plate XII||no|no|yes|cdisc
CLMAC|13|Manning/1992|9||yes|no|no|illus
CLMAC|13|Petrie/1872|68, Plate LXIV||no|no|yes|cdisc
CLMAC|14|Macalister/1899|119||no|no|no|list
CLMAC|14|Macalister/1909|3, Plate II||no|no|yes|cdisc
CLMAC|14|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|15|Macalister/1899|118||no|no|no|list
CLMAC|15|Macalister/1909|4, Plate II||no|no|yes|cdisc
CLMAC|15|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|16|Macalister/1909|4, Plate II||no|no|yes|cdisc
CLMAC|16|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|17|Macalister/1909|4, Plate II||no|no|yes|cdisc
CLMAC|17|Macalister/1949|44, Plate X||no|no|yes|cdisc
CLMAC|18|Lionard/1961|102, Fig. 1.1||no|no|yes|cdisc
CLMAC|18|Macalister/1909|4, Plate III||no|no|yes|cdisc
CLMAC|18|Macalister/1949|44, Plate XI||no|no|yes|cdisc
CLMAC|19|Lionard/1961|102, 159, Fig 1.4||no|no|yes|illus
CLMAC|19|Macalister/1899|119||no|no|no|list
CLMAC|19|Macalister/1909|4, Plate III||no|no|yes|cdisc
CLMAC|19|Macalister/1949|44, Plate XI||no|no|yes|cdisc
CLMAC|20|Lionard/1961|102, Fig 1.6||no|no|yes|illus
CLMAC|20|Macalister/1909|xvi, 4, Plate III||no|no|yes|cdisc
CLMAC|20|Macalister/1949|44, Plate XI||no|no|yes|cdisc
CLMAC|20|Petrie/1872|73, Plate 70||no|no|yes|cdisc
CLMAC|21|Lionard/1961|102, Fig 1.15||no|no|yes|illus
CLMAC|21|Macalister/1909|5, Plate III||no|no|yes|cdisc
CLMAC|21|Macalister/1949|44, Plate XI||no|no|yes|cdisc
CLMAC|21|Petrie/1872|31-32, Plate XXII||no|no|yes|cdisc
CLMAC|22|Lionard/1961|102, Fig. 1.2||no|no|yes|illus
CLMAC|22|Macalister/1909|5, Plate III||no|no|yes|cdisc
CLMAC|22|Macalister/1949|45, Plate XII||no|no|yes|cdisc
CLMAC|22|Petrie/1872|29, Plate XVIII||no|no|yes|cdisc
CLMAC|23|Lionard/1961|102, Fig 1.11||no|no|yes|illus
CLMAC|23|Macalister/1909|5, Plate III||no|no|yes|
CLMAC|23|Macalister/1949|45, Plate XII||no|no|yes|cdisc
CLMAC|23|Petrie/1872|31, Plate XXI||no|no|yes|cdisc
CLMAC|24|Lionard/1961|105, Fig. 51||no|no|yes|illus
CLMAC|24|Macalister/1909|5--6, Plate IV||no|no|yes|cdisc
CLMAC|24|Macalister/1949|45, Plate XIII||no|no|yes|cdisc
CLMAC|24|Petrie/1872|70--71, Plate LXVII||no|no|yes|cdisc
CLMAC|25|Lionard/1961|102, Fig. 1.12||no|no|yes|illus
CLMAC|25|Macalister/1909|6, Plate IV||no|no|yes|cdisc
CLMAC|25|Macalister/1949|45, Plate XII||no|no|yes|cdisc
CLMAC|25|Petrie/1872|27-28, Plate XVII||no|no|yes|cdisc
CLMAC|26|Lionard/1961|106, Fig. 6.1||no|no|yes|illus
CLMAC|26|Macalister/1909|6, Plate IV||no|no|yes|cdisc
CLMAC|26|Macalister/1949|45, Plate XII||no|no|yes|cdisc
CLMAC|26|Petrie/1872|33, Plate XXIV||no|no|yes|cdisc
CLMAC|27|Macalister/1909|6, Plate IV||no|no|yes|cdisc
CLMAC|27|Macalister/1949|45, Plate X||no|no|yes|cdisc
CLMAC|27|Petrie/1872|27, Plate XVII||no|no|yes|cdisc
CLMAC|28|Macalister/1909|6, Plate IV||no|no|yes|cdisc
CLMAC|28|Macalister/1949|45, Plate XI||no|no|yes|cdisc
CLMAC|28|Petrie/1872|45, Plate XXXVI||no|no|yes|cdisc
CLMAC|29|Lionard/1961|114, Fig. 11.17||no|no|yes|illus
CLMAC|29|Macalister/1909|7, Plate V||no|no|yes|cdisc
CLMAC|29|Macalister/1949|45, Plate XIII||no|no|yes|cdisc
CLMAC|29|Petrie/1872|21, Plate VIII||no|no|yes|cdisc
CLMAC|30|Lionard/1961|106, Fig. 6.7||no|no|yes|illus
CLMAC|30|Macalister/1909|8, Plate VI||no|no|yes|cdisc
CLMAC|30|Macalister/1949|46, Plate XII||no|no|yes|cdisc
CLMAC|31|Lionard/1961|106, Fig. 6.13||no|no|yes|illus
CLMAC|31|Macalister/1899|118||no|no|no|list
CLMAC|31|Macalister/1909|8, Plate VI||no|no|yes|cdisc
CLMAC|31|Macalister/1949|46, Plate XIII||no|no|yes|cdisc
CLMAC|32|Lionard/1961|113, Fig. 10.11||no|no|yes|illus
CLMAC|32|Macalister/1899|119||no|no|no|list
CLMAC|32|Macalister/1909|8, Plate VI||no|no|yes|cdisc
CLMAC|32|Macalister/1949|46, Plate XIII||no|no|yes|cdisc
CLMAC|33|Lionard/1961|113, Fig. 10.4||no|no|yes|illus
CLMAC|33|Macalister/1909|8-9, Plate VI||no|no|yes|cdisc
CLMAC|33|Macalister/1949|46, Plate XIII||no|no|yes|cdisc
CLMAC|33|Petrie/1872|23, Plate XI||no|no|yes|cdisc
CLMAC|34|Macalister/1909|9, Plate VI||no|no|yes|cdisc
CLMAC|34|Macalister/1949|46, Plate X||no|no|yes|cdisc
CLMAC|35|Lionard/1961|113, Fig. 10.7||no|no|yes|illus
CLMAC|35|Macalister/1909|9, Plate VII||no|no|yes|cdisc
CLMAC|35|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|36|Lionard/1961|128, Fig. 21.6||no|no|yes|illus
CLMAC|36|Macalister/1899|118||no|no|no|list
CLMAC|36|Macalister/1909|10, Plate VII||no|no|yes|cdisc
CLMAC|36|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|37|Lionard/1961|113, Fig. 10.6||no|no|yes|cdisc
CLMAC|37|Macalister/1909|10, Plate VII||no|no|yes|cdisc
CLMAC|37|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|37|Petrie/1872|37, Plate XXVIII||no|no|yes|cdisc
CLMAC|38|Lionard/1961|106, Fig. 6.11||no|no|yes|illus
CLMAC|38|Macalister/1909|11, Plate VII||no|no|yes|cdisc
CLMAC|38|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|38|Petrie/1872|15, Plate I||no|no|yes|cdisc
CLMAC|39|Lionard/1961|135, Fig. 26.4||no|no|yes|illus
CLMAC|39|Macalister/1909|11, Plate VII||no|no|yes|cdisc
CLMAC|39|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|39|Petrie/1872|42, Plate XXXII||no|no|yes|cdisc
CLMAC|40|Lionard/1961|113, Fig. 10.18||no|no|yes|illus
CLMAC|40|Macalister/1909|11, Plate VII||no|no|yes|cdisc
CLMAC|40|Macalister/1949|46, Plate XIV||no|no|yes|cdisc
CLMAC|40|Petrie/1872|52, Plate XLII||no|no|yes|cdisc
CLMAC|41|Lionard/1961|113, Fig. 10.14||no|no|yes|illus
CLMAC|41|Macalister/1899|117||no|no|no|list
CLMAC|41|Macalister/1909|11-12 Plate VIII||no|no|yes|cdisc
CLMAC|41|Macalister/1949|47, Plate XV||no|no|yes|cdisc
CLMAC|42|Lionard/1961|113, Fig. 10.13||no|no|yes|illus
CLMAC|42|Macalister/1899|118||no|no|no|list
CLMAC|42|Macalister/1909|12, Plate VIII||no|no|yes|cdisc
CLMAC|42|Macalister/1949|47, Plate XIV||no|no|yes|cdisc
CLMAC|43|Lionard/1961|124, Fig. 19.5||no|no|yes|illus
CLMAC|43|Macalister/1899|117||no|no|no|list
CLMAC|43|Macalister/1909|12, Plate VIII||no|no|yes|cdisc
CLMAC|43|Macalister/1949|47, Plate XIV||no|no|yes|cdisc
CLMAC|44|Lionard/1961|124, Fig. 19.2||no|no|yes|illus
CLMAC|44|Macalister/1909|12, Plate VIII||no|no|yes|cdisc
CLMAC|44|Macalister/1949|47, Plate XV||no|no|yes|cdisc
CLMAC|44|Petrie/1872|22, Plate X||no|no|yes|cdisc
CLMAC|45|Lionard/1961|124, Fig. 19.1||no|no|yes|illus
CLMAC|45|Macalister/1909|12--13, Plate VIII||no|no|yes|cdisc
CLMAC|45|Macalister/1949|47, Plate XV||no|no|yes|cdisc
CLMAC|45|Petrie/1872|36, Plate XXVIII||no|no|yes|cdisc
CLMAC|46|Lionard/1961|124, Fig. 19.3||no|no|yes|illus
CLMAC|46|Macalister/1909|13, Plate IX||no|no|yes|cdisc
CLMAC|46|Macalister/1949|47, Plate XIV||no|no|yes|cdisc
CLMAC|46|Petrie/1872|34, Plate XXVI||no|no|yes|cdisc
CLMAC|47|Lionard/1961|124, Fig. 19.4||no|no|yes|illus
CLMAC|47|Macalister/1909|13, Plate IX||no|no|yes|cdisc
CLMAC|47|Macalister/1949|47, Plate XV||no|no|yes|cdisc
CLMAC|47|Petrie/1872|34, Plate XXVI||no|no|yes|cdisc
CLMAC|48|Lionard/1961|124, Fig. 19.8||no|no|yes|illus
CLMAC|48|Macalister/1909|13-14, Plate IX||no|no|yes|cdisc
CLMAC|48|Macalister/1949|47, Plate XIII||no|no|yes|cdisc
CLMAC|49|Lionard/1961|124, Fig. 19.9||no|no|yes|illus
CLMAC|49|Macalister/1909|14, Plate IX||no|no|yes|cdisc
CLMAC|49|Macalister/1949|47, Plate XVI||no|no|yes|cdisc
CLMAC|50|Lionard/1961|124, Fig. 19.11||no|no|yes|illus
CLMAC|50|Macalister/1909|14, Plate IX||no|no|yes|cdisc
CLMAC|50|Macalister/1949|47, Plate XV||no|no|yes|cdisc
CLMAC|50|Petrie/1872|26, Plate XVI||no|no|yes|cdisc
CLMAC|51|Lionard/1961|124, Fig. 19.7||no|no|yes|illus
CLMAC|51|Macalister/1909|14, Plate IX||no|no|yes|cdisc
CLMAC|51|Macalister/1949|47, Plate XVI||no|no|yes|cdisc
CLMAC|51|Petrie/1872|23, Plate XII||no|no|yes|cdisc
CLMAC|52|Lionard/1961|113, Fig. 10.16||no|no|yes|illus
CLMAC|52|Macalister/1909|14--15, Plate X||no|no|yes|cdisc
CLMAC|52|Macalister/1949|48, Plate XVI||no|no|yes|cdisc
CLMAC|53|Lionard/1961|102, Fig. 1.8||no|no|yes|illus
CLMAC|53|Macalister/1909|15, Plate X||no|no|yes|cdisc
CLMAC|53|Macalister/1949|48, Plate XIII||no|no|yes|cdisc
CLMAC|54|Macalister/1909|15, Plate X||no|no|yes|cdisc
CLMAC|54|Macalister/1949|48, Plate XV||no|no|yes|cdisc
CLMAC|54|Petrie/1872|20--21, Plate VIII||no|no|yes|cdisc
CLMAC|55|Lionard/1961|111, Fig. 9.11||no|no|yes|illus
CLMAC|55|Macalister/1899|120||no|no|no|list
CLMAC|55|Macalister/1909|15--16, Plate X||no|no|yes|cdisc
CLMAC|55|Macalister/1949|48, Plate XVI||no|no|yes|cdisc
CLMAC|56|Lionard/1961|120, Fig. 15.5||no|no|yes|illus
CLMAC|56|Macalister/1899|116||no|no|no|list
CLMAC|56|Macalister/1909|16, Plate X||no|no|yes|cdisc
CLMAC|56|Macalister/1949|48, Plate XVII||no|no|yes|cdisc
CLMAC|56|Petrie/1872|36, Plate XXVII||no|no|yes|cdisc
CLMAC|57|Lionard/1961|113, Fig. 10.10||no|no|yes|illus
CLMAC|57|Macalister/1899|117||no|no|no|list
CLMAC|57|Macalister/1909|16, Plate X||no|no|yes|cdisc
CLMAC|57|Macalister/1949|48, Plate XVII||no|no|yes|cdisc
CLMAC|58|Lionard/1961|140, Fig. 29.1||no|no|yes|illus
CLMAC|58|Macalister/1909|16, Plate X||no|no|no|cdisc
CLMAC|58|Macalister/1949|48, Plate XVII||no|no|yes|cdisc
CLMAC|58|Petrie/1872|46, Plate XXXVII||no|no|yes|cdisc
CLMAC|59|Lionard/1961|119, Fig. 14.11||no|no|yes|illus
CLMAC|59|Macalister/1909|17, Plate XII||no|no|yes|cdisc
CLMAC|59|Macalister/1949|48, Plate XVII||no|no|yes|cdisc
CLMAC|59|Petrie/1872|39, Plate XXX||no|no|yes|cdisc
CLMAC|60|Lionard/1961|124, Fig. 19.12||no|no|yes|illus
CLMAC|60|Macalister/1909|17, Plate XII||no|no|yes|cdisc
CLMAC|60|Macalister/1949|49, Plate XVIII||no|no|yes|cdisc
CLMAC|60|Petrie/1872|26--27, Plate XVI||no|no|yes|cdisc
CLMAC|61|Lionard/1961|119, Fig. 14.14||no|no|yes|illus
CLMAC|61|Macalister/1899|116||no|no|no|list
CLMAC|61|Macalister/1909|17, Plate XII||no|no|yes|cdisc
CLMAC|61|Macalister/1949|49, Plate XIX||no|no|yes|cdisc
CLMAC|61|Petrie/1872|49, Plate XXXVIII||no|no|yes|cdisc
CLMAC|62|Lionard/1961|119, Fig. 14.5||no|no|yes|illus
CLMAC|62|Macalister/1899|120||no|no|no|list
CLMAC|62|Macalister/1909|17--18, Plate XII||no|no|yes|cdisc
CLMAC|62|Macalister/1949|49, Plate XVIII||no|no|yes|cdisc
CLMAC|63|Macalister/1909|18, Plate XII||no|no|yes|cdisc
CLMAC|63|Macalister/1949|49, Plate XII||no|no|yes|cdisc
CLMAC|64|Lionard/1961|119, Fig. 14.13||no|no|yes|illus
CLMAC|64|Macalister/1899|116||no|no|no|list
CLMAC|64|Macalister/1909|18, Plate XIII||no|no|yes|cdisc
CLMAC|64|Macalister/1949|49, Plate XX||no|no|yes|cdisc
CLMAC|64|Petrie/1872|22, Plate IX||no|no|yes|cdisc
CLMAC|65|Lionard/1961|119, Fig. 14.6||no|no|yes|illus
CLMAC|65|Macalister/1909|18, PLate XIII||no|no|yes|cdisc
CLMAC|65|Macalister/1949|49, Plate XX||no|no|yes|cdisc
CLMAC|65|Petrie/1872|38, Plate  XXIX||no|no|yes|cdisc
CLMAC|66|Lionard/1961|119, Fig. 14.1||no|no|yes|illus
CLMAC|66|Macalister/1909|18, Plate XIII||no|no|yes|cdisc
CLMAC|66|Macalister/1949|49, Plate XVIII||no|no|yes|cdisc
CLMAC|66|Petrie/1872|30, Plate XX||no|no|yes|cdisc
CLMAC|67|Lionard/1961|119, Fig. 14.9||no|no|yes|illus
CLMAC|67|Macalister/1909|18--19, Plate XIV||no|no|yes|cdisc
CLMAC|67|Macalister/1949|49, Plate XXI||no|no|yes|cdisc
CLMAC|67|Petrie/1872|39, Plate XXX||no|no|yes|cdisc
CLMAC|68|Lionard/1961|119, Fig. 14.8||no|no|yes|illus
CLMAC|68|Macalister/1909|19, Plate XIV||no|no|yes|cdisc
CLMAC|68|Macalister/1949|49, Plate XXI||no|no|yes|cdisc
CLMAC|68|Petrie/1872|69, Plate LXV||no|no|yes|cdisc
CLMAC|69|Lionard/1961|122, Fig. 16.8||no|no|yes|illus
CLMAC|69|Macalister/1909|19, Plate XIV||no|no|yes|cdsic
CLMAC|69|Macalister/1949|49, Plate XXI||no|no|yes|cdisc
CLMAC|69|Petrie/1872|57, Plate XLVIII||no|no|yes|cdisc
CLMAC|70|Lionard/1961|122, Fig. 16.1||no|no|yes|illus
CLMAC|70|Macalister/1909|19, Plate XV||no|no|yes|cdisc
CLMAC|70|Macalister/1949|50, Plate XXII||no|no|yes|cdisc
CLMAC|70|Petrie/1872|44, Plate XXXIV||no|no|yes|cdisc
CLMAC|71|Lionard/1961|119, Fig. 14.2||no|no|yes|illus
CLMAC|71|Macalister/1909|20, Plate XVI||no|no|yes|cdisc
CLMAC|71|Macalister/1949|50, Plate XXIII||no|no|yes|cdisc
CLMAC|71|Petrie/1872|52, Plate XLII||no|no|yes|cdisc
CLMAC|72|Lionard/1961|119, Fig. 14.7||no|no|yes|illus
CLMAC|72|Macalister/1909|20, Plate XVI||no|no|yes|cdisc
CLMAC|72|Macalister/1949|50, Plate XXI||no|no|yes|cdisc
CLMAC|73|Macalister/1899|119||no|no|no|list
CLMAC|73|Macalister/1909|20, Plate XVI||no|no|yes|cdisc
CLMAC|73|Macalister/1949|50, Plate XX||no|no|yes|cdisc
CLMAC|74|Lionard/1961|120, Fig. 15.12||no|no|yes|illus
CLMAC|74|Macalister/1909|20, Plate XVI||no|no|yes|cdisc
CLMAC|74|Macalister/1949|50, Plate XVIII||no|no|yes|cdisc
CLMAC|74|Petrie/1872|34, Plate XXV||no|no|yes|cdisc
CLMAC|75|Lionard/1961|120, Fig. 15.4||no|no|yes|illus
CLMAC|75|Macalister/1909|20--21, Plate XVI||no|no|yes|cdisc
CLMAC|75|Macalister/1949|50, Plate XXIII||no|no|yes|cdisc
CLMAC|75|Manning/1995|inc||yes|no|no|illus
CLMAC|75|Petrie/1872|25, Plate XIV||no|no|yes|cdisc
CLMAC|76|Lionard/1961|120, Fig. 15.2||no|no|yes|illus
CLMAC|76|Macalister/1909|21, Plate XVII||no|no|yes|cdisc
CLMAC|76|Macalister/1949|50, Plate XVI||no|no|yes|cdisc
CLMAC|76|Petrie/1872|17, Plate II||no|no|yes|cdisc
CLMAC|77|Macalister/1909|21, Plate XVII||no|no|yes|cdisc
CLMAC|77|Macalister/1949|50, Plate XXI||no|no|yes|cdisc
CLMAC|78|Lionard/1961|119, Fig. 14.12||no|no|yes|illus
CLMAC|78|Macalister/1909|21--22, Plate XVII||no|no|yes|cdisc
CLMAC|78|Macalister/1949|50, Plate XXI||no|no|yes|cdisc
CLMAC|78|Petrie/1872|26, Plate XV||no|no|yes|cdisc
CLMAC|79|Lionard/1961|122, Fig. 16.11||no|no|yes|illus
CLMAC|79|Macalister/1909|22, Plate XVII||no|no|yes|cdisc
CLMAC|79|Macalister/1949|50, Plate XXX||no|no|yes|cdisc
CLMAC|79|Petrie/1872|18, Plate IV||no|no|yes|cdisc
CLMAC|80|Lionard/1961|120, Fig. 15.13||no|no|yes|illus
CLMAC|80|Macalister/1909|22, Plate XVIII||no|no|yes|cdisc
CLMAC|80|Macalister/1949|50, Plate XXIII||no|no|yes|cdisc
CLMAC|80|Petrie/1872|37, Plate XXIX||no|no|yes|cdisc
CLMAC|81|Lionard/1961|120, Fig. 15.3||no|no|yes|illus
CLMAC|81|Macalister/1909|22, Plate XVIII||no|no|yes|cdisc
CLMAC|81|Macalister/1949|50, Plate XXIV||no|no|yes|cdisc
CLMAC|81|Petrie/1872|25, Plate XIV||no|no|yes|cdisc
CLMAC|82|Lionard/1961|122, Fig. 16.10||no|no|yes|illus
CLMAC|82|Macalister/1909|22, PLate XVIII||no|no|yes|cdisc
CLMAC|82|Macalister/1949|50, Plate XXV||no|no|yes|cdisc
CLMAC|82|Petrie/1872|32, Plate XXIII||no|no|yes|cdisc
CLMAC|83|Macalister/1899|119||no|no|no|list
CLMAC|83|Macalister/1909|23, Plate XVIII||no|no|yes|cdisc
CLMAC|83|Macalister/1949|51, Plate XVII||no|no|yes|cdisc
CLMAC|84|Lionard/1961|120, Fig. 15.10||no|no|yes|illus
CLMAC|84|Macalister/1909|23, Plate XVIII||no|no|yes|cdisc
CLMAC|84|Macalister/1949|51, Plate XXIV||no|no|yes|cdisc
CLMAC|84|Petrie/1872|32--33, Plate XXIII||no|no|yes|cdisc
CLMAC|85|Lionard/1961|120, Fig. 15.7||no|no|yes|illus
CLMAC|85|Macalister/1909|23, Plate XVIII||no|no|yes|cdisc
CLMAC|85|Macalister/1949|51, Plate XXIV||no|no|yes|cdisc
CLMAC|85|Petrie/1872|18, Plate IV||no|no|yes|cdisc
CLMAC|86|Lionard/1961|124, Fig. 19.3||no|no|yes|illus
CLMAC|86|Macalister/1909|23, Plate XIX||no|no|yes|cdisc
CLMAC|86|Macalister/1949|51, Plate XXIV||no|no|yes|cdisc
CLMAC|86|Petrie/1872|28, Plate XVIII||no|no|yes|cdisc
CLMAC|87|Lionard/1961|120, Fig 15.9||no|no|yes|illus
CLMAC|87|Macalister/1909|24, Plate XIX||no|no|yes|cdisc
