SITE|STONE|BIB_REF|PAGES|ILLUSTRATI|PHOTO|MAP|DRAWING|VALUE
ARBRY|2|Macalister/1945|480|yes|no|no|yes|read
ARBRY|2|Rhys/1886b|94|yes|no|no|no|cdisc
ARBRY|2|Rhys/Browne/1891|38|yes|no|no|yes|illus
ARDCT|1|Macalister/1945|241||no|no|no|cdisc
ARDCT|2|Macalister/1945|241--242, frontispiece||yes|no|yes|cdisc
ARDFE|1|Macalister/1945|132--133||no|no|yes|cdisc
ARDNE|1|Cuppage/etal/1986|248||no|no|no|cdisc
ARDNE|1|Macalister/1945|139--140||no|no|yes|cdisc
ARFYN|1|White/1971-72|33--35|yes|yes|no|no|sdisc
ARRAG|1|Cuppage/etal/1986|248--250||yes|no|yes|cdisc
ARRAG|1|Macalister/1945|140--141||no|no|yes|cdisc
ARRAG|2|Cuppage/etal/1986|248||no|no|no|list
ARRAG|2|Macalister/1945|141||no|no|yes|cdisc
ATHLO|1|Macalister/1949|78||no|no|no|cdisc
AUQUH|1|Forsyth/1996|41--54||yes|no|yes|sdisc
AUTAG|1|Macalister/1945|75--77||no|no|yes|cdisc
AYWAG|1|Brash/1879|213||no|no|yes|cdisc
AYWAG|1|Macalister/1902|50||no|no|no|cdisc
AYWAG|1|Macalister/1945|242--243||no|no|yes|cdisc
BABOR|1|Macalister/1907|90--96||no|no|yes|sdisc
BABOR|1|Macalister/1945|63--64||no|no|yes|cdisc
BABOR|2|Macalister/1907|96||no|no|yes|cdisc
BABOR|2|Macalister/1945|62--64||no|no|yes|cdisc
BAGLN|1|Huebner/1876|27||no|no|no|list
BAGLN|1|Macalister/1949|152, Plate LIII||no|no|yes|cdisc
BAGLN|1|Nash-Williams/1950|130, Plate LI||yes|no|no|cdisc
BAGLN|1|RCHAMW/1976|43, pl. 5(a)||yes|no|no|cdisc
BAGLN|1|Redknap/1991|55, 72||yes|no|yes|cdisc
BAGLN|1|Rhys/1873|8||no|no|no|minor
BAGLN|1|Rhys/1876|244||no|no|no|other
BAGLN|1|Westwood/1851|145||no|no|yes|cdisc
BAGLN|1|Westwood/1879|24, pl. XIV, fig. 1||no|no|yes|cdisc
BAHAN|1|Macalister/1907|74--81||no|no|no|sdisc
BAHAN|1|Macalister/1945|92--93||no|no|yes|cdisc
BAHAN|1|Power/etal/1997|165||no|no|yes|cdisc
BAHAN|2|Macalister/1907|81--85||no|no|yes|sdisc
BAHAN|2|Macalister/1945|94--96||no|no|yes|cdisc
BAHAN|3|Macalister/1907|86||no|no|no|cdisc
BAHAN|3|Macalister/1945|96--97||no|no|yes|cdisc
BAHAN|4|Macalister/1907|86--87||no|no|no|cdisc
BAHAN|4|Macalister/1945|97||no|no|yes|cdisc
BAHAN|5|Macalister/1907|87--89||no|no|no|cdisc
BAHAN|5|Macalister/1945|98--100||no|no|yes|cdisc
BAHAN|5|Power/etal/1997|165||no|no|no|minor
BAHAN|6|Macalister/1907|89--90||no|no|no|cdisc
BAHAN|6|Macalister/1945|100--102||no|no|yes|cdisc
BAKIL|1|Macalister/1949|195||no|no|no|cdisc
BAKIL|2|Macalister/1949|195--196||no|no|no|cdisc
BAKIL|3|Macalister/1949|196, Pl. V||no|no|yes|cdisc
BAKIL|4|Macalister/1949|196||no|no|no|minor
BAKIL|5|Macalister/1949|196, Pl. V||no|no|yes|cdisc
BAKNK|1|Macalister/1907|108--109||no|no|no|cdisc
BAKNK|1|Macalister/1945|85||no|no|no|cdisc
BAKNK|2|Macalister/1907|109--111||no|no|no|cdisc
BAKNK|2|Macalister/1945|86||no|no|yes|cdisc
BAKNK|2|Power et al/1997|60||no|no|no|cdisc
BAKNK|3|Macalister/1907|108, 111||no|no|no|cdisc
BAKNK|3|Macalister/1945|86||no|no|no|cdisc
BAKNK|4|Macalister/1907|111||no|no|no|cdisc
BAKNK|4|Macalister/1945|86--87||no|no|yes|cdisc
BAKNK|5|Macalister/1907|111--113||no|no|no|cdisc
BAKNK|5|Macalister/1945|86--87||no|no|yes|cdisc
BAKNK|6|Macalister/1907|113--115||no|no|no|cdisc
BAKNK|6|Macalister/1945|86--88||no|no|yes|cdisc
BAKNK|7|Macalister/1907|115--116||no|no|no|cdisc
BAKNK|7|Macalister/1945|87--88||no|no|yes|cdisc
BAKNK|7|Power et al/1997|61||no|no|no|minor
BAKNK|8|Gippert/Web|Ogham 89||yes|no|yes|cdisc
BAKNK|8|Macalister/1907|116||no|no|no|cdisc
BAKNK|8|Macalister/1945|88--89||no|no|yes|cdisc
BAKNK|9|Macalister/1907|116--117||no|no|no|cdisc
BAKNK|9|Macalister/1945|89||no|no|yes|cdisc
BAKNK|10|Macalister/1907|117--118||no|no|no|minor
BAKNK|10|Macalister/1945|90--91||no|no|no|minor
BAKNK|10|Power/etal/1997|61||no|no|no|minor
BAKNK|11|Macalister/1907|118||no|no|no|minor
BAKNK|11|Macalister/1945|91||no|no|yes|cdisc
BAKNK|11|Power/etal/1997|61||no|no|no|cdisc
BAKNK|12|Macalister/1907|118||no|no|no|minor
BAKNK|12|Macalister/1945|91||no|no|yes|minor
BAKNK|12|Power/etal/1997|61||no|no|no|minor
BAKNK|13|Macalister/1907|118--120||no|no|no|cdisc
BAKNK|13|Macalister/1945|91||no|no|no|minor
BAKNK|13|Power/etal/1997|61||no|no|no|minor
BAKNK|14|Macalister/1907|120--121||no|no|no|minor
BAKNK|14|Macalister/1945|92||no|no|yes|minor
BAKNK|14|Power/etal/1997|92||no|no|yes|minor
BAKNK|15|Macalister/1907|121||no|no|no|minor
BAKNK|15|Macalister/1945|92||no|no|yes|minor
BALBA|1|McManus/1991|76||no|no|no|minor
BALBO|1|Macalister/1945|42--44||yes|no|yes|cdisc
BALBO|1|Ziegler/1994|inc||no|no|yes|cdisc
BALBO|2|Macalister/1907|96--97||no|no|yes|cdisc
BALBO|2|Macalister/1945|64||no|no|yes|minor
BALBR|1|Macalister/1949|197, Pl. LXVI||no|no|yes|cdisc
BALBR|1|McManus/1991|68||no|no|no|minor
BALEE|1|Cuppage/etal/1986|250||no|no|yes|cdisc
BALEE|1|Gippert/Web|Ogham 147||yes|no|no|sdisc
BALEE|1|Macalister/1897|51--52||no|no|no|cdisc
