ciic	lat	lon
1	53.4855556	-9.316944444444443
2	53.8163889	-7.870555555555556
3	53.7816667	-8.805000000000001
4	53.7736111	-8.765555555555556
5	53.8961111	-8.665277777777778
6	53.7286111	-8.709444444444443
7	54.0744444	-9.08388888888889
8	53.7463889	-9.870000000000001
9	54.2602778	-9.330833333333333
10	54.2486111	-9.248055555555554
11	53.84	-8.362222222222222
12	53.8075	-8.297777777777778
13	53.8075	-8.297777777777778
14	52.6316667	-6.956388888888889
15	52.8263889	-6.573611111111111
16	52.7819444	-6.716666666666667
17	52.8480556	-6.727222222222222
18	53.4197222	-6.152500000000001
19	53.0311111	-6.756388888888889
20	53.0311111	-6.756388888888889
21	53.0311111	-6.756388888888889
22	53.0311111	-6.756388888888889
23	53.2933333	-6.142222222222222
24	53.0311111	-6.756388888888889
25	53.0311111	-6.756388888888889
26	53.3752778	-6.551111111111111
27	52.76	-7.524444444444445
28	52.6513889	-7.150555555555556
29	52.6177778	-7.1722222222222225
30	52.6177778	-7.1722222222222225
31	52.5188889	-7.036388888888888
32	52.6325	-7.066111111111111
33	52.5425	-6.958055555555556
34	52.5386111	-7.158611111111111
35	52.5775	-7.121388888888888
36	52.4438889	-7.360833333333333
37	52.4438889	-7.360833333333333
38	52.4719444	-7.231111111111111
39	53.845	-6.476666666666667
40	53.6733333	-6.559166666666666
41	53.7358333	-6.96
42	52.2505556	-6.720555555555555
43	52.1173	-6.6177
44	52.2152778	-6.4275
45	52.5436111	-6.530277777777778
46	52.1613889	-6.887777777777777
47	52.9091667	-6.063611111111111
48	53.0169444	-6.617777777777778
49	0	0
50	53.9469444	-6.608888888888888
51	52.9980556	-6.535
52	53.0222222	-9.063611111111111
53	0	0
54	52.8033333	-8.447777777777778
55	51.7330556	-9.28361111111111
56	52.0680556	-8.599444444444446
57	52.0811111	-8.601944444444444
58	52.0811111	-8.601944444444444
59	52.0102778	-8.453333333333333
60	52.0102778	-8.453333333333333
61	52.0086111	-8.360555555555555
62	51.9808333	-8.452777777777778
63	51.9694444	-8.175555555555555
64	51.9694444	-8.175555555555555
65	52.0052778	-8.24611111111111
66	51.7122222	-9.935277777777777
67	51.6288889	-9.981666666666667
68	51.7275	-9.711944444444443
69	51.6788889	-8.846944444444444
70	51.6788889	-8.846944444444444
