ciic	lat	lon
197	52.0611111	-9.642777777777777
198	52.0611111	-9.642777777777777
199	52.0611111	-9.642777777777777
200	52.0611111	-9.642777777777777
201	52.0611111	-9.642777777777777
202	52.0611111	-9.642777777777777
203	52.0611111	-9.642777777777777
204	52.2086111	-9.621666666666668
205	51.9744444	-9.665000000000001
206	52.0719444	-9.747222222222222
207	52.0719444	-9.747222222222222
208	52.0719444	-9.747222222222222
209	52.0719444	-9.747222222222222
210	52.0719444	-9.747222222222222
211	52.0719444	-9.747222222222222
212	52.0719444	-9.747222222222222
213	52.0719444	-9.747222222222222
214	52.0680556	-9.71888888888889
215	52.0805556	-9.703055555555554
216	52.0805556	-9.703055555555554
217	52.0805556	-9.703055555555554
218	52.0805556	-9.703055555555554
218A	52.0805556	-9.703055555555554
219	51.91	-9.746666666666666
220	51.7730556	-10.122222222222224
221	51.8811111	-9.786666666666667
222	0	0
223	0	0
224	51.8852778	-9.525833333333335
225	0	0
226	51.8394444	-9.389166666666666
227	51.8833333	-9.413611111111111
228	52.5666667	-9.421388888888888
229	51.9211111	-10.166666666666666
230	51.8941667	-10.176944444444445
231	51.9122222	-10.365555555555556
232	51.9122222	-10.365555555555556
233	51.8480556	-10.11361111111111
234	52.0311111	-10.029166666666667
235	51.9133333	-10.175833333333333
236	51.8433333	-10.301944444444445
237	51.8433333	-10.301944444444445
238	51.9233333	-10.220833333333333
239	52.0136111	-10.025277777777779
240	51.9708333	-10.05888888888889
241	52.0861111	-9.67361111111111
242	52.0777778	-9.558333333333334
242A	52.0777778	-9.558333333333334
243	52.1288889	-9.631666666666668
244	52.1288889	-9.631666666666668
245	52.1288889	-9.631666666666668
246	52.1288889	-9.631666666666668
246A	52.1655556	-9.73361111111111
246B	52.1655556	-9.73361111111111
247	52.1477780	-9.6627780
248	52.1425	-9.43888888888889
249	52.1619444	-9.687777777777779
250	52.1658333	-9.771944444444445
251	52.1916667	-9.5325
252	52.2266667	-9.581944444444444
253	0	0
254	0	0
255	52.1247222	-9.7575
256	52.1247222	-9.7575
256A	52.2680556	-9.710277777777778
257	52.4575	-8.823888888888888
258	52.3819444	-8.377222222222223
259	52.3286111	-8.562777777777779
260	52.2758333	-8.105277777777777
261	52.2216667	-7.758055555555556
262	52.1994444	-7.998888888888889
263	52.3419444	-7.487777777777778
264	52.3419444	-7.487777777777778
265	52.3419444	-7.487777777777778
266	52.0644444	-7.848888888888888
267	52.0644444	-7.848888888888888
268	52.0644444	-7.848888888888888
269	51.9883333	-7.755833333333333
270	52.1333333	-7.439166666666667
271	52.1333333	-7.439166666666667
272	52.1630556	-7.468055555555556
273	52.1630556	-7.468055555555556
274	52.1630556	-7.468055555555556
275	52.1630556	-7.468055555555556
276	52.1630556	-7.468055555555556
277	52.1630556	-7.468055555555556
278	52.1630556	-7.468055555555556
279	52.1630556	-7.468055555555556
280	52.1630556	-7.468055555555556
281	52.1630556	-7.468055555555556
282	52.1552778	-7.495
283	52.1913889	-7.483333333333333
284	52.1913889	-7.483333333333333
285	52.1102778	-7.544722222222222
286	52.0905556	-7.549722222222222
287	52.0905556	-7.549722222222222
288	52.0905556	-7.549722222222222
289	52.0905556	-7.549722222222222
290	52.0905556	-7.549722222222222
291	52.1025	-7.804444444444444
292	52.1113889	-7.6
293	52.1113889	-7.6
294	52.1113889	-7.6
295	52.1113889	-7.6
296	52.1113889	-7.6
297	52.1113889	-7.6
298	52.1113889	-7.6
299	52.1113889	-7.6
300	0	0
301	52.2672222	-7.746944444444445
302	52.185	-7.226666666666667
303	52.3111111	-7.385000000000001
304	52.3305556	-7.391111111111112
305	52.3241667	-7.379166666666666
306	52.3263889	-7.511666666666667
307	0	0
308	0	0
309	54.8030556	-6.183333333333334
310	54.8030556	-6.183333333333334
311	54.3072222	-6.655277777777778
312	53.805	-6.954444444444444
313	53.7944444	-7.209444444444444
314	54.6086111	-7.871111111111111
315	54.3622222	-7.5175
316	55.1166667	-6.7444444444444445
317	54.6994444	-7.047777777777777
