SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
LFRN1|RCHAMW/1925|166||no|no|no|cdisc
LFRN2|Macalister/1945|417||no|no|no|cdisc
LFRYN|Macalister/1949|135||no|no|no|other
LFRYN|Westwood/1876|69||no|no|no|cdisc
LGADW|Charles-Edwards/1995|inc|no|no|no|no|sdisc
LGADW|Davies/1982|44-46|yes|no|no|yes|
LGADW|Edwards/1986|24|no|no|no|yes|other
LGADW|Jones/1972|inc|no|inc|inc|inc|other
LGADW|Lloyd/1939|231|no|no|no|no|other
LGADW|RCAHMW/1937|85--87||no|no|yes|cdisc
LGADW|White/Longley/1995|13-21|yes|no|no|yes|other
LGFNI|Jones/1846b|160-169|no|no|no|no|sdisc
LGFNI|RCAHMW/1937|90--91||no|no|no|list
LGIAN|RCAHMW/1964|57--58||yes|no|yes|sdisc
LGLEB|Macalister/1949|70||no|no|no|cdisc
LGORS|Nash-Williams/1950|76||no|no|no|minor
LGWYR|Fox/etal/1943|205--209||yes|no|yes|sdisc
LGYFL|Anon/1920|358ff.||no|no|no|cdisc
LGYFL|Macalister/1949|155||no|no|no|cdisc
LGYFL|RCHAMW/1973|42||no|no|no|other
LHADN|Okasha/1993|129|none|no|no|no|sdisc
LHAML|Westwood/1876|68||no|no|no|cdisc
LHANE|Power/etal/1997|229, 281||no|no|no|sdisc
LHERN|Macalister/1949|178||no|no|no|cdisc
LHERN|Okasha/1993|133|none|no|no|no|minor
LILTE|RCHAMW/1976|38||no|no|no|other
LILTE|Westwood/1871|260||no|no|no|minor
LILTE|Westwood/1879|7||no|no|no|minor
LISMR|Macalister/1949|107||no|no|no|minor
LISMR|Petrie/1878|30--31||no|no|no|sdisc
LIVET|Okasha/1993|138|none|no|no|no|other
LIVET|Thomas/1994|251-53, 305, 311, 317|none|no|no|no|sdisc
LLLEO|Lhwyd/1910|94||no|no|no|other
LLLWY|Stephney-Gulston/1908|235--236|no|no|no|no|cdisc
LLLYR|Handley/1999b|inc||no|no|no|sdisc
LLNDG|Drinkwater/1893|188--189||no|no|no|cdisc
LLNR1|RCAHMW/1964|80||no|no|yes|cdisc
LLNR1|Westwood/1879|183||no|no|no|cdisc
LLNR2|RCAHMW/1964|73--74||no|no|yes|sdisc
LLNR3|Anon/1859|234||no|no|no|other
LLNR3|Breese/1877|72||no|no|no|other
LLNR3|Breese/1925|385--387||no|no|no|cdisc
LLNR3|Parry/Westwood/1847|201--202||no|no|no|sdisc
LLNR3|RCAHMW/1964|82--83||no|no|no|cdisc
LMADC|RCHAMW/1976|36--37||no|no|no|other
LMADC|Westwood/1879|50||no|no|no|cdisc
LMNGH|Macalister/1945|221||no|no|no|minor
LNFYL|RCAHMW/1911|80||no|no|no|cdisc
LNGAN|Macalister/1945|353||no|no|no|minor
LNRDN|RCHAMW/1973|39||no|no|no|minor
LOHED|Forsyth/1996|374--384||no|no|no|cdisc
LONAW|Forsyth/1996|519--525||no|no|no|cdisc
LOUGH|Macalister/1945|382||no|no|no|minor
LOUGH|RCHAMW/1976|37||no|no|no|other
LPHIN|Forsyth/1996|385--390||no|no|no|sdisc
LSADW|Edwards/1986|22--23|no|no|no|no|minor
LSADW|Jones/1847|259-260|no|no|no|no|minor
LSADW|Miller/1979|11|no|no|no|no|minor
LSADW|RCAHMW/1937|109-110|no|no|no|no|sdisc
LSADY|James/1992|74|no|no|no|no|cdisc
LSADY|Nash-Williams/1950|116--118|no|no|no|no|other
LSADY|WynEvans/1991|240|yes|no|no|yes|minor
LTING|Forsyth/1996|402||no|no|no|cdisc
LTRIS|BM ADD MSS 14934|fol. 216|no|no|no|no|minor
LTRIS|Westwood/1879|192|no|no|no|no|minor
LTWIT|Anon/1913|89--90||no|yes|yes|cdisc
LTWIT|Anon/1928|403--405||no|yes|no|cdisc
LTWIT|Halliday/1900|129--156||yes|yes|no|sdisc
LTWIT|Halliday/1903|56--64||yes|no|yes|cdisc
LTWIT|Nash-Williams/1950|140--42||no|no|no|cdisc
LTYSL|Macalister/1949|145--146||no|no|no|sdisc
LTYSL|Nash-Williams/1950|123, 125, Plate XXXV||no|no|no|cdisc
LUGUL|Cuppage/etal/1986|255--256||no|no|yes|cdisc
LUGUL|Macalister/1945|183||no|no|no|cdisc
LUNDY|Okasha/1993|154--155, 158, 161, 164|none|no|no|no|minor
LUNDY|Thomas/1994|163-182, 206, 249, 318|several|yes|yes|yes|sdisc
LUSTL|Macalister/1945|469||no|no|no|inc
LUSTL|Okasha/1993|167||no|no|no|inc
LUSTL|Swanton/Pearce/1982|139--143||no|no|yes|sdisc
LUSTL|Thomas/1994|281||no|no|no|inc
LUWCH|Vaughan/1850|204||no|no|no|cdisc
LUWCH|Westwood/1876|168||no|no|no|cdisc
LVEYN|RomillyAllen/1902|239||no|no|no|cdisc
LWNCC|Thomas/1994|330||no|no|no|list
LWNCK|Okasha/1993|146|none|no|no|no|minor
LWNCK|Thomas/1994|245, 262--263, 305, 311-3|none|no|no|no|sdisc
LWNNW|Westwood/1879|144||no|no|no|minor
LYCHR|Macalister/1945|421||no|no|no|minor
LYNTN|Chanter/1913|270--275||no|no|no|cdisc
LYNTN|Okasha/1993|171||no|no|no|minor
LYNTN|Thomas/1994|288||no|no|no|minor
MADR1|Macalister/1945|445||no|no|no|minor
MADR1|Okasha/1993|174||yes|no|no|minor
MADR1|Thomas/1994|286||no|no|no|inc
MADR2|Macalister/1949|179||no|no|no|minor
MADR2|Okasha/1993|179||no|no|no|minor
MADR2|Thomas/1994|290, 302, 317||no|no|no|cdisc
MAINS|Forsyth/1998|61, note 89||no|no|no|minor
MANGE|Macalister/1945|217||no|no|no|minor
MARG1|Fox/1939|36--37||no|no|yes|sdisc
MARG1|Fox/Fox/1934|395--413||yes|yes|yes|sdisc
MARG1|Westwood/1879|22||no|no|no|cdisc
MARG2|Redknap/1991|68--75||no|no|no|cdisc
MARG3|RCHAMW/1976|53||no|no|no|other
MARLY|Macalister/1945|31||no|no|no|cdisc
MAUGH|Cubbon/1982|257--282|              no|no|no|yes|sdisc
MAUGH|Kermode/1929|354--358|yes|yes|no|no|sdisc
MAUGH|Megaw/1950|169--81|yes|no|no|yes|sdisc
MAUIG|Cuppage/etal/1986|332--334||no|no|yes|sdisc
MAWGN|Macalister/1945|447||no|no|no|inc
MAWGN|Okasha/1993|185||no|no|no|cdisc
MAWGN|Preston-Jones/1992|120--121||no|no|yes|cdisc
MAWGN|Thomas/1994|316--317||no|no|no|cdisc
MBOIC|Buckley/1986|76||no|no|yes|cdisc
MBOIC|Roe/1981|7-13||yes|yes|yes|sdisc
MEELK|Macalister/1945|11--12||no|yes|no|cdisc
MELIN|Macalister/1945|422||no|no|no|minor
MELIN|Owen/1896|131--132||no|no|no|cdisc
MMAWR|RCHAMW/1976|37||no|no|no|other
MMWR2|Nash-Williams/1950|154||no|no|no|minor
MMWR3|RCHAMW/1976|57||no|no|no|other
MMWR3|Rhys/1905|38||no|no|no|minor
MNCLO|Macalister/1945|421||no|no|no|minor
MNCLO|RCHAMW/1925|207||no|no|no|cdisc
MNTRI|Macalister/1945|119||no|no|no|minor
MNTRU|Macalister/1945|254||no|no|no|minor
MONAI|Macalister/1949|102||no|no|no|list
MONAI|Petrie/1878|35||no|yes|no|cdisc
MONAT|Macalister/1945|116||no|no|no|minor
MRAME|Cuppage/etal/1986|256||no|no|no|cdisc
MRAME|Macalister/1945|184--185||no|no|no|cdisc
MRSTN|Cuppage/etal/1986|335||no|no|no|minor
MRSTN|Macalister/1949|97||no|no|no|minor
MRTHR|Westwood/1879|97|no|no|no|no|minor
MTDFL|RCHAMW/1976|40||no|no|no|other
MTDFL|Westwood/1879|5||no|no|no|cdisc
MTHRY|RCHAMW/1925|221--223||no|no|no|cdisc
MUSIC|Macalister/1945|131||no|no|no|minor
MVILE|Petrie/1878|71||no|no|no|sdisc
NANSW|Macalister/1945|450||no|no|no|minor
NANSW|Okasha/1993|189||no|no|no|minor
NANSW|Thomas/1994|241--242, 262, 307||no|no|no|cdisc
NANTC|Webley/1958|124--5||no|no|no|cdisc
NANTD|Westwood/1876|55--56||no|no|no|cdisc
NBRGH|Edwards/1986|30, Fig. 2|yes|no|no|yes|minor
NBRGH|Jones/1846a|426-429|no|no|no|no|
NBRTH|RCHAMW/1925|249--250||no|no|no|cdisc
NBRTH|Westwood/1882|41||no|no|no|other
NEVRN|Anon/1922|498--499||no|no|no|cdisc
NEVRN|RCHAMW/1925|262||no|yes|no|cdisc
NEVRN|Westwood/1879|102||no|no|no|cdisc
NEWCA|RCAHMW/1976|66||no|no|no|cdisc
NEWCH|Evans/1917|163--164|no|no|no|no|minor
NEWLE|Macalister/1945|256||no|no|no|minor
NEWT|Forsyth/1996|420--423||no|no|yes|sdisc
NOBBE|McManus/1991|76||no|no|no|cdisc
OGMOR|Macalister/1949|162||no|no|no|minor
OGMOR|RCAHMW/1976|55||no|no|no|minor
OLDIS|Macalister/1945|290||no|no|no|minor
OUGHT|Sheehan/1982|40||no|no|no|minor
PAINT|Macalister/1945|45||no|no|no|cdisc
PAINT|Moore/1987|153, 214||no|no|yes|cdisc
PALLY|RCHAMW/1925|292||no|no|no|cdisc
PARAR|Macalister/1945|237||no|no|no|minor
PATRS|Westwood/1876|71||no|no|no|cdisc
PBRYN|Macalister/1945|339||no|no|no|minor
PBRYN|Westwood/1876|146||no|no|no|cdisc
PERNP|Okasha/1993|200||no|no|no|minor
PERNP|Thomas/1994|312, 330||no|no|no|minor
PGWRA|Okasha/1993|211||no|no|no|minor
PGWRA|Thomas/1994|289||no|no|no|minor
PHLLK|Macalister/1945|449||no|no|no|minor
PHLLK|Okasha/1993|201, 205||no|no|no|minor
PHLLK|Thomas/1994|197--198, 284, 316||no|no|yes|sdisc
PMCH1|Macalister/1945|369||no|no|no|minor
PMCH1|RCAHMW/1956|168--169||no|no|no|sdisc
PMCH2|Knight/1995|1--10||no|no|no|cdisc
PMCH2|RCAHMW/1956|168, 177||no|no|no|cdisc
PMCH2|Rhys/1919|201||no|no|no|minor
PMRFA|RCAHMW/1960|65, 95||no|no|no|cdisc
PMRFA|Rhys/1882|161--162||no|no|no|cdisc
PNZAN|Macalister/1949|180--81||no|no|no|minor
PNZAN|Okasha/1993|194||no|no|no|minor
PNZAN|Thomas/1994|299--300||no|no|no|minor
PNZAN|Thomas/Thorpe/1998|2||no|no|no|cdisc
POLCH|Forsyth/1996|443--447||no|no|no|sdisc
POMCK|Macalister/1945|20--21||no|yes|no|cdisc
PONTS|Lhwyd/1910|90||no|no|no|other
POOL|Forsyth/1994|456--458||no|no|yes|cdisc
PRCMB|Okasha/1993|193||no|no|no|cdisc
PRHOS|RCAHMW/1937|132||no|no|yes|list
PRIES|Macalister/1945|256||no|no|no|minor
PRKLA|Macalister/1945|217||no|no|no|minor
PRTT1|Fox/1939|39||no|no|no|cdisc
PRTT1|RCHAMW/1976|37||no|no|no|other
PRTT3|RCHAMW/1976|42--43||no|no|no|other
PRTT3|Richards/1925|424--425||no|no|no|sdisc
PRTT4|Hughes/1926|193||no|no|no|cdisc
PRTT4|RCHAMW/1976|43||no|no|no|other
PRTYV|Cubbon/1982|262-263|yes|yes|no|no|illus
PRTYV|Jones/1990|29--44|no|no|no|no|sdisc
PRTYV|Kermode/1897|47--51|yes|yes|yes|no|cdisc
PRTYV|Kermode/1907|121--123|yes|no|no|no|sdisc
PRTYV|Rhys/1897|52--53|no|no|no|no|other
PUNCH|RCHAMW/1925|299||no|no|no|cdisc
PYFAI|Lewis/1970|71--74||no|no|yes|sdisc
PYFAI|RCAHMW/1976|54||no|no|no|minor
RACOB|Macalister/1945|69||no|no|no|minor
RAMSY|Okasha/1970|68||no|no|no|cdisc
RANTA|Macalister/1945|299||no|no|no|minor
RATAS|Fanning/1977|14--16||no|no|no|sdisc
RATAS|Harbison/1972|6-13||yes|inc|inc|sdisc
RATHD|Macalister/1949|86, Plate VII||no|yes|no|minor
RATHK|OSullivan/Sheehan/1996|358--360||yes|yes|yes|sdisc
RBANE|Macalister/1949|121||no|no|no|list
RCMMN|Macalister/1949|15||no|no|no|minor
RCROG|Gippert/Web|Ogham12||yes|yes|no|sdisc
RCROG|Macalister/1945|16--17||no|yes|no|cdisc
RDRTH|Okasha/1993|218||no|no|no|minor
RDRTH|Tangye/1985|171--172||no|no|no|sdisc
RDRTH|Thomas/1994|284||no|no|no|minor
REASK|Fanning/1981|67-172||yes|yes|yes|sdisc
REDGT|Macalister/1949|184||no|no|no|cdisc
REDGT|Okasha/1993|213||yes|no|no|cdisc
RFILD|Macalister/1945|239||no|no|no|minor
RGLAS|Gippert/Web|Ogham 16||yes|no|no|sdisc
RGLAS|Macalister/1945|16||yes|no|no|cdisc
RHDDL|Macalister/1945|339||no|no|no|minor
RIALT|Okasha/1993|220||no|no|no|minor
RIALT|Thomas/1994|217, 268--269, 307--308||no|no|yes|sdisc
ROSCR|Macalister/1949|103||no|no|no|minor
ROSCR|Petrie/1878|38--40||no|yes|no|cdisc
ROSSH|Higgins/1987|381, Fig. 97||no|yes|no|cdisc
ROSSH|Macalister/1949|8||no|yes|no|minor
ROVMO|Macalister/1945|122||no|no|no|minor
RSOLV|Macalister/1949|164||no|no|no|minor
RSOLV|Nash-Williams/1950|165||no|no|no|minor
RSOLV|RCAHMW/1976|55||no|no|no|cdisc
RTHCA|Gippert/Web|79||yes|no|no|cdisc
RTHCA|Macalister/1945|82||no|no|no|cdisc
RTHDF|Cuppage/etal/1986|336||no|no|no|cdisc
RTHKE|McManus/1991|68||no|no|no|minor
RTHOD|Macalister/1945|189||no|no|no|minor
RUSHE|Macalister/1945|7--8|drawing|no|yes|no|cdisc
RUSHN|Bruce/1968|55--57||no|no|yes|sdisc
RUSHN|Kermode/1907|96|              no|no|no|no|sdisc
SANTN|Kermode/1935|21|no|no|no|no|sdisc
SBRID|Edwards/forthcoming|n/a||no|no|no|cdisc
SBRID|James/1987|75, no. 34||no|no|no|list
SBRID|RCHAMW/1925|318||no|no|no|cdisc
SCATT|Petrie/1878|25--26||no|yes|no|sdisc
SCETH|Westwood/1876|57||no|no|no|cdisc
SCHUD|Macalister/1945|257||no|no|no|minor
SCLEM|Macalister/1945|451||no|no|no|minor
SCLEM|Okasha/1993|224||no|no|no|minor
SCLEM|Thomas/1994|270||no|no|no|minor
SCOLM|Macalister/1945|453||no|no|no|minor
SCOLM|Okasha/1993|229||no|no|no|minor
SCOLM|Thomas/1994|282, 317||no|no|no|minor
SCRED|Okasha/1993|253||no|no|no|minor
SCRED|Thomas/1994|286, 317||no|no|no|cdisc
SDAV1|Macalister/1945|425||no|no|no|minor
SDAV1|Rhys/1896|105||no|no|no|cdisc
SDAV2|RCHAMW/1925|348||no|no|no|cdisc
SDAV4|Craster/1957|157||no|no|no|minor
SDOGM|RCHAMW/1925|357--363||no|yes|yes|sdisc
SDOGW|Nash-Williams/1950|213||no|no|no|minor
SDOGW|RomillyAllen/1876|54||no|no|no|cdisc
SDOGW|Westwood/1879|105||no|no|no|cdisc
SEDRN|RCHAMW/1925|366--367||no|no|no|cdisc
SEDRN|RomillyAllen/1883|262||no|no|no|cdisc
SEIRK|Macalister/1949|39--40, Plate VIII||no|yes|no|cdisc
SENDL|Macalister/1945|456||no|no|no|minor
SENDL|Okasha/1993|232||no|no|no|minor
SENDL|Thomas/1994|307||no|no|yes|cdisc
SFORD|Macalister/1949|121||no|no|no|other
SFORD|Petrie/1878|72||no|no|no|cdisc
SHANK|McManus/1991|75--76||no|no|no|cdisc
SHILL|Macalister/1945|464||no|no|no|minor
SHILL|Okasha/1993|264||no|no|no|minor
SHILL|Thomas/1994|231, 278||no|no|no|cdisc
SHLRY|Collingwood/Wright/1965|696||no|no|no|minor
SHLRY|Macalister/1945|460||no|no|no|minor
SHLRY|Okasha/1993|236||no|no|no|minor
SHLRY|Thomas/1994|201, 317||no|no|no|cdisc
SHNKL|Macalister/1949|109||no|no|no|minor
SILCH|Fox/1895|439--494||yes|yes|yes|sdisc
SILCH|Fulford/Clarke/1999|176--180||yes|no|yes|sdisc
SISHM|Evans/1907|63--65|no|no|no|no|other
SISHM|Rhys/1907b|66--76|no|no|no|no|minor
SJUST|Macalister/1945|461||no|no|no|minor
SJUST|Okasha/1993|243||no|no|no|minor
SJUST|Thomas/1994|286, 293||no|no|no|cdisc
SLIAN|Westwood/1879|137||no|no|no|minor
SNCL1|RCHAMW/1925|379||no|no|no|minor
SNCL1|Rhys/1898a|60||no|no|no|cdisc
SNCL2|RCHAMW/1925|379||no|yes|no|cdisc
SOURT|Macalister/1945|470||no|no|no|minor
SOURT|Okasha/1993|260||no|no|no|cdisc
SOURT|Thomas/1994|281||no|no|no|minor
SPOLE|RCHAMW/1925|388--389||no|no|no|cdisc
SPOLE|Westwood/1879|109--110||no|no|no|cdisc
SPTTL|Anon/1883|339||no|no|no|cdisc
SPTTL|Anon/1898|281||no|no|no|minor
SPTTL|RCHAMW/1925|385||no|no|no|cdisc
SPTTL|Westwood/1879|109||no|no|no|cdisc
STISL|Macalister/1945|301||no|no|no|minor
STKEW|Macalister/1945|462||no|no|no|minor
STKEW|Okasha/1993|248||no|no|no|minor
STKEW|Thomas/1994|167, 229, 240--241, 309, 314--316||no|no|yes|sdisc
STNIN|Forsyth/1996|467--470||no|no|yes|sdisc
STNTN|Caroe/1917|123--128||yes|no|no|sdisc
STNTN|RCHAMW/1925|390||no|yes|no|cdisc
STWFD|Macalister/1949|187||no|no|no|minor
STWFD|Okasha/1993|268||no|no|no|minor
STWFD|Thomas/1994|290, 317, Fig 18.6 p.319||no|no|yes|cdisc
SVNSS|Fox/1939|32--34||no|no|no|sdisc
SVNSS|Westwood/1865|59--60||no|no|no|cdisc
TALYB|Nash-Williams/1950|81||no|no|no|minor
TAWNA|Langdon/Allen/1895|190||inc|inc|inc|minor
TAWNA|Macalister/1945|437||no|no|no|minor
TAWNA|Okasha/1993|288||no|no|no|minor
TBYAN|Okasha/1993|296||no|no|no|minor
TCKML|Okasha/1993|316||no|no|no|minor
TCKML|Thomas/1967a|162||no|no|no|cdisc
TCROM|Okasha/1993|302||no|no|no|minor
TCROM|Thomas/1994|194--195||yes|no|no|cdisc
TEMAN|Power/etal/1992|273||no|no|no|cdisc
TERMY|Macalister/1945|234||no|no|no|minor
TERMY|OSullivan/Sheehan/1996|311--313||no|no|no|cdisc
TFEIC|Macalister/1949|32--33, Plate VIII||no|yes|no|cdisc
TFLYS|RomillyAllen/1905|70||no|no|no|other
TGARN|Westwood/1879|143||no|no|no|minor
TGENE|Higgins/1987|288, Fig. 19, Pl.12B||yes|yes|no|cdisc
TGENE|Macalister/1949|5||no|no|no|
TGONY|Macalister/1945|438||no|no|no|minor
TGONY|Okasha/1993|299||no|no|no|minor
TGONY|Thomas/1994|283||no|no|no|minor
THILL|Thomas/1994|288, 330||no|no|no|cdisc
THOTO|McManus/1991|73--75, plate 3||yes|no|no|cdisc
TIHIL|Macalister/1949|42, Plate XXXVII||no|yes|no|cdisc
TINAH|Macalister/1945|249||no|no|no|minor
TIRPH|Fox/1939|35--36||no|no|yes|cdisc
TIRPH|Jones/1862|220||no|no|no|cdisc
TIRPH|RCHAMW/1976|36||no|no|no|other
TIRPH|Stephens/1862|130||no|no|no|cdisc
TISAR|Macalister/1949|78, Plate XLII||no|yes|no|cdisc
TLGMO|Macalister/1945|124||no|no|no|minor
TMINE|Macalister/1945|20||no|yes|no|cdisc
TMOUN|Macalister/1945|303||no|no|no|cdisc
TMYLE|Higgins/1987|272--273, Fig. 4, Pl.13A||no|yes|no|cdisc
TNTGL|Langdon/1896|366||no|no|no|other
TNTGL|Okasha/1993|291||no|no|no|minor
TNTIS|Morris/1997|1--143||no|yes|yes|sdisc
TNTIS|Padel/1984|1-28||no|no|no|cdisc
TNTIS|Thomas/1993|9--144||yes|yes|yes|sdisc
TOOCU|Macalister/1945|291||no|no|no|minor
TOURP|Macalister/1949|100||no|no|no|minor
TOURP|Moloney/1964|99--106||no|no|no|sdisc
TPBNN|Higgins/1987|287, Fig.49, Pl. 29A||yes|yes|no|cdisc
TPBNN|Macalister/1949|4, Plate II||no|yes|no|cdisc
TRALE|Macalister/1945|251--252||no|no|no|minor
TRAWS|Gresham/1985|389||no|no|no|cdisc
TRLLW|Westwood/1876|63||no|no|no|cdisc
TRSCO|Macalister/1945|463||no|no|no|minor
TRSCO|Okasha/1993|304||no|no|no|minor
TRSCO|Thomas/1985a|178--179||no|no|no|cdisc
TRSCO|Thomas/1994|271||no|no|no|minor
TRVNG|Okasha/1993|312||no|no|no|cdisc
TRVNG|Thomas/1994|284||no|no|no|cdisc
TRWSF|Hemp/Gresham/1961|154--155||no|no|no|cdisc
TSLTN|Langdon/Allen/1895|51||no|no|no|list
TSLTN|Okasha/1993|307||no|no|no|cdisc
TSLTN|Thomas/1967a|64--67||no|yes|no|sdisc
TUAM|Higgins/1987|379, Fig. 95||no|yes|no|cdisc
TUAM|Macalister/1949|1, Plate 1||no|yes|no|cdisc
TUAMG|Macalister/1949|92||no|no|no|minor
TULHE|Macalister/1945|38--40||no|yes|no|cdisc
TULLA|Macalister/1945|8--9|drawing|no|yes|no|cdisc
TULYS|Henderson/Okasha/1992|1--36||no|no|no|sdisc
TVRRK|Okasha/1993|310||no|no|no|cdisc
TVST1|Macalister/1945|472||no|no|no|minor
TVST1|Okasha/1993|271||no|no|no|minor
TVST1|Thomas/1994|281||no|no|no|minor
TVST2|Macalister/1945|47||no|no|no|cdisc
TVST2|Okasha/1993|274||no|no|no|minor
TVST3|Macalister/1945|467||no|no|no|minor
TVST3|Okasha/1993|278||no|no|no|minor
TVST3|Thomas/1994|265||no|no|no|minor
TVST4|Okasha/1993|282, 285||no|no|no|minor
TWINT|Okasha/1993|315||no|no|no|cdisc
TWYFO|Macalister/1949|79, Plate V||no|yes|no|list
UNPR1|Macalister/1949|115||no|no|no|minor
VAENR|Macalister/1949|132||no|no|no|other
VRTOU|Guigon/1994|75|no|no|no|no|cdisc
VSCHE|Guigon/1994|61|no|no|no|no|cdisc
VSCHE|Guigon/Bardel/1989|331-343|yes|yes|yes|yes|sdisc
WHFLD|Gippert/Web|215||no|no|no|cdisc
WHFLD|Macalister/1945|208||no|no|no|minor
WHISL|Macalister/1949|124||no|no|no|minor
WHSTL|Okasha/1993|326||no|no|no|minor
WINDG|Macalister/1945|295||no|no|no|cdisc
WLTWN|Okasha/1993|322||no|no|no|cdisc
WLTWN|Thomas/1994|307--308||no|no|no|cdisc
WNESS|Forsyth/1996|1b, 495--496||no|no|yes|sdisc
WNESS|Forsyth/1998|45||no|no|yes|illus
WNSFD|Macalister/1945|476||no|no|no|minor
WNSFD|Okasha/1993|328||no|no|no|cdisc
WPITD|Macalister/1949|180||no|no|no|cdisc
WPITD|Okasha/1993|318||no|no|no|minor
WRHAM|RCHAME/1970|303--307||yes|yes|yes|sdisc
WRXTR|Wright/Jackson/1968|296||no|no|no|minor
WVALE|Macalister/1945|447||no|no|no|cdisc
WVALE|Okasha/1993|333--334||no|no|no|cdisc
WVALE|Thomas/1994|307--308||no|no|yes|cdisc
YFLL1|Anon/1901|68||no|no|no|cdisc
YFLL1|Nash-Williams/1950|82||no|no|no|other
YFLL1|Westwood/1876|64||no|no|no|minor
YGYNL|Westwood/1876|63||no|no|no|other
YLMPN|Okasha/1993|338||no|no|no|minor
YLMPN|Thomas/1994|290||no|no|no|minor
