SITE|BIB_REF|PAGES|ILLUSTRATE|PHOTO|DRAWING|MAP|VALUE
BLYGH|Cuppage/etal/1986|268--270||no|no|yes|sdisc
BLYGH|Macalister/1945|163||no|no|no|cdisc
BOSKN|Okasha/1993|68|none|no|no|no|minor
BOSKN|Thomas/1980|107|none|no|no|no|minor
BOSLW|Okasha/1993|70|none|no|no|no|minor
BOSLW|Thomas/1994|291--293|photograph|yes|no|no|sdisc
BOSLW|Weatherhill/1981|66, 78|none|no|no|no|minor
BOSWR|Okasha/1993|73|none|no|no|no|cdisc
BOWDN|Gough/1806|50--51||no|no|no|cdisc
BOWDN|Okasha/1993|76|none|no|no|no|minor
BQUIN|Macalister/1945|292||no|no|no|minor
BRAGH|Macalister/1945|162||no|no|no|minor
BRATT|Forsyth/1996|102--103||no|no|no|sdisc
BRAW1|Dark/1992c|36--37||no|no|no|minor
BRAW1|Nash-Williams/1950|180||no|no|no|minor
BRAW1|RCHAMW/1925|25||no|no|no|cdisc
BRAW2|Williams/Nash-Williams/1937|4||no|no|no|minor
BRCKN|Cuppage/etal/1986|124||no|no|no|cdisc
BRCKN|Macalister/1945|166--167||no|yes|no|cdisc
BREAS|Gippert/Web|Ogham 10||yes|no|no|sdisc
BREAS|Macalister/1945|13||no|no|no|cdisc
BREAY|Forsyth/1996|117---138||yes|no|no|sdisc
BRHAM|Cuppage/etal/1986|254||no|no|no|minor
BRHAM|Macalister/1945|167--168||no|yes|no|minor
BRHGW|Macalister/1949|10, Plate 1||no|no|no|minor
BRHKL|McManus/1991|71--72||no|no|no|minor
BRIDE|Cubbon/1982|264--266|no|no|no|yes|sdisc
BRIDE|Kermode/1911|32--35|yes|yes|no|no|sdisc
BRIDE|Kermode/1911-1912|69--74|yes|no|yes|no|sdisc
BRIDE|Thomas/1971b|188--190|no|no|no|no|sdisc
BRIDL|RCHAMW/1925|31||no|no|no|cdisc
BRMOU|Cuppage/et al/1986|254||no|no|no|minor
BRMOU|Macalister/1945|167||no|no|no|minor
BROD|Forsyth/1996|139--141||no|no|no|sdisc
BRUGH|Macalister/1949|126||no|no|no|minor
BRUGH|Petrie/1878|73--74||no|no|no|cdisc
BRYNK|Anon/1903|288--289||yes|no|no|illus
BRYNK|RCAHMW/1960|95||no|no|no|cdisc
BRYNK|Rhys/1903|255--256||yes|no|no|cdisc
BTOBR|Macalister/1949|10, Plate 1||no|no|no|minor
BUCKM|Okasha/1993|79|none|no|no|no|minor
BUCKM|Pearce/1982|5--6||no|no|no|minor
BURGA|Macalister/1945|81||no|no|no|minor
BURIN|Forsyth/1996|187--189||yes|yes|yes|sdisc
BURNF|Macalister/1945|61||no|yes|no|cdisc
BWEEN|Cuppage/etal/1986|194, Fig.115||no|no|yes|cdisc
BWEEN|Gippert/Web|Ogham 172||yes|yes|no|sdisc
BWEEN|Macalister/1945|165--166||no|no|no|cdisc
