latitude|longitude|altitude|geometry|macci|ciic|mac|lug|qen|avi|cuna|maq|maqi|alatto|alattos|qasign|ceran|acto|mucoi|cuno|medvvi|vraicci|catto|ivacattos|iva|cat|cattos|maqqi|koi|tren|netta|bran|drugno|vir|ver|dov|branogeni|ineqaglas|glas|covagni|bar|bari|iarni|dercmasoc|erc|neta|cari|anm|trenu|cattu|brusco|colomagni|dovalesci|giragni|viragni|coimagni|mocoi|moco|domngen|conann|cona|con|casoni|maci|brocc|bir|bait|cronun|erca|dommo|meddo|corbagni|corre|celi|cunas|cunagussos|dalagni|dali|dala|ttren|vergoso|dego|laddigni|laidann|corbbi|conas|glasiconas|curci|drogno|qeni|roddos|conu|brusccos|catu|brocann|gamicunas|degos|vorgos|battigni|cati|broci|gatteglan|mocu|baidagni|ritte|cattuvvirr|ivageni|ivo|daimagni|gosoctas|cunnetas|cata|catabar|moddagn|brocagni|magl
52.4438889|-7.360833333333333||Point||36||||||true|true||||||true||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.4438889|-7.360833333333333||Point||37||||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.4719444|-7.231111111111111||Point||38||||||true|true||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.845|-6.476666666666667||Point||39||||||||||||||||||||||||||true|||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.6733333|-6.559166666666666||Point||40||||true||true|true|||||||||||||||||||||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.7358333|-6.96||Point||41||true||||true|true||||||true|||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.2505556|-6.720555555555555||Point||42||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1173|-6.6177||Point||43||||true|||||||||||||||||||||||||||||||true|true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.2152778|-6.4275||Point||44|||||||||||||||||||||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.5436111|-6.530277777777778||Point||45||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.1613889|-6.887777777777777||Point||46||||||true||||||||||||||true||true||||||||||||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.9091667|-6.063611111111111||Point||47||||||||||||||||||||||||||||||||||||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.0169444|-6.617777777777778||Point||48||||||true|true||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.9663889|-6.624444444444445||Point||49||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.9469444|-6.608888888888888||Point||50||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.9980556|-6.535||Point||51||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
53.0222222|-9.063611111111111||Point||52||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.8463|-8.9807||Point||53||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.8033333|-8.447777777777778||Point||54||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.7330556|-9.28361111111111||Point||55||||||true|||||||true|||||||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0680556|-8.599444444444446||Point||56||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0811111|-8.601944444444444||Point||57||||||true|true||||||true|||||||||||true|||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0811111|-8.601944444444444||Point||58||||||true||||||||||||||true||||||||||||||||||||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0102778|-8.453333333333333||Point||59|||||||||||||||||||true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0102778|-8.453333333333333||Point||60||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0086111|-8.360555555555555||Point||61||||||true||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9808333|-8.452777777777778||Point||62||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9694444|-8.175555555555555||Point||63||||true||true|true|||||||||||||||||||||||true|||||||||||||||true|true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
51.9694444|-8.175555555555555||Point||64||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
52.0052778|-8.24611111111111||Point||65||||||true|true|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
