SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
ARBRY|1|1|Rhys/Browne/1891|38-41|yes|no|no|read
ARBRY|1|1|Ziegler/1994|159-160||no|no|other
ARBRY|2|1|Browne/1890|343|no|no|no|cdisc
ARBRY|2|1|Kermode/1907|73-74, 100|yes|no|yes|read
ARBRY|2|1|Kermode/1910-1911|437-438|yes|no|yes|cdisc
ARBRY|2|1|Macalister/1902|135|no|no|yes|read
ARBRY|2|1|Macalister/1945|480|yes|no|yes|read
ARBRY|2|1|McManus/1991|66|no|no|no|read
ARBRY|2|1|Rhys/1886|94|yes|no|no|cdisc
ARBRY|2|1|Rhys/Browne/1891|38|yes|no|yes|illus
ARDCT|1|1|Macalister/1945|241||no|no|minor
ARDCT|2|1|Macalister/1945|241--242, frontispiece||yes|yes|cdisc
ARDFE|1|1|Macalister/1945|132--133||no|yes|cdisc
ARDNE|1|1|Macalister/1945|139--140||no|yes|cdisc
ARFYN|1|1|Edwards/1986|21, 23, 34|no|no||minor
ARFYN|1|1|White/1971-72|34, 46-51|yes|yes||sdisc
ARRAG|1|1|Macalister/1902|18--19||no|yes|minor
ARRAG|1|1|Macalister/1945|140--141||no|yes|cdisc
ARRAG|2|1|Cuppage/etal/1986|248||no|no|cdisc
ARRAG|2|1|Macalister/1945|141||no|yes|minor
ATHLO|1|1|Macalister/1949|78||no|no|cdisc
AUQUH|1|1|Forsyth/1996|44--54||yes|yes|sdisc
AUTAG|1|1|Macalister/1945|75--77||no|yes|cdisc
AYWAG|1|1|Macalister/1902|50||no|no|cdisc
AYWAG|1|1|Macalister/1945|242--243||no|yes|cdisc
BABOR|1|1|Macalister/1907|90--96||no|yes|sdisc
BABOR|1|1|Macalister/1945|63--64||no|yes|cdisc
BABOR|2|1|Macalister/1907|96--97||no|yes|cdisc
BABOR|2|1|Macalister/1945|64||no|yes|minor
BAGLN|1|1|Huebner/1876|27||no|yes|list
BAGLN|1|1|Macalister/1949|152, Pl. LIII||no|yes|cdisc
BAGLN|1|1|Nash-Williams/1950|130, Pl. LI, fig. 139||yes|yes|cdisc
BAGLN|1|1|RCHAMW/1976|43||no|no|cdisc
BAGLN|1|1|Redknap/1991|55, 72||yes|yes|cdisc
BAGLN|1|1|Rhys/1876|244||no|no|cdisc
BAGLN|1|1|Westwood/1851|145--146||no|yes|cdisc
BAGLN|1|1|Westwood/1879|24||no|yes|cdisc
BAHAN|1|1|Macalister/1907|78--81||no|no|cdisc
BAHAN|1|1|Macalister/1945|93--94||no|no|cdisc
BAHAN|1|1|Power/etal/1997|165||no|yes|cdisc
BAHAN|1|2|Macalister/1945|93--94||no|yes|cdisc
BAHAN|2|1|Macalister/1907|81--85||no|yes|cdisc
BAHAN|2|1|Macalister/1945|94--96||no|yes|cdisc
BAHAN|3|1|Macalister/1907|86||no|yes|cdisc
BAHAN|3|1|Macalister/1945|96--97||no|yes|cdisc
BAHAN|4|1|Macalister/1907|86--87||no|no|minor
BAHAN|4|1|Macalister/1945|97||no|yes|minor
BAHAN|4|1|McManus/1991|66||no|no|cdisc
BAHAN|5|1|Macalister/1945|98--100||no|yes|cdisc
BAHAN|6|1|Macalister/1907|89--90||no|no|cdisc
BAHAN|6|2|Macalister/1945|100--101||no|yes|minor
BAHAN|6|2|Power/etal/1997|165||no|no|cdisc
BAKIL|1|1|Macalister/1949|195||no|no|cdisc
BAKIL|2|1|Macalister/1949|195--196||no|no|minor
BAKIL|3|1|Macalister/1949|196, Pl. V||no|yes|cdisc
BAKIL|4|1|Macalister/1949|196||no|no|minor
BAKIL|5|1|Macalister/1949|196, Pl. V||no|yes|cdisc
BAKNK|1|1|Macalister/1945|85||no|yes|cdisc
BAKNK|2|1|Gippert/Web|Ogham 83||yes|yes|sdisc
BAKNK|3|1|Macalister/1945|86||no|yes|cdisc
BAKNK|4|1|Gippert/Web|Ogham 85||yes|yes|sdisc
BAKNK|4|1|Macalister/1945|86--87||no|yes|cdisc
BAKNK|5|1|Macalister/1945|86--87||no|yes|cdisc
BAKNK|6|1|Macalister/1945|86--88||no|yes|cdisc
BAKNK|7|1|Gippert/Web|Ogham 87||no|no|
BAKNK|7|1|Macalister/1907|115||no|no|read
BAKNK|7|1|Macalister/1945|87--88||no|no|cdisc
BAKNK|8|1|Gippert/Web|Ogham 89||yes|yes|sdisc
BAKNK|8|1|Macalister/1945|88--89||no|yes|
BAKNK|9|1|Macalister/1907|116--117||no|yes|minor
BAKNK|9|1|Macalister/1945|89||no|yes|cdisc
BAKNK|10|1|Macalister/1907|117||no|yes|cdisc
BAKNK|10|1|Macalister/1945|90--91||no|no|minor
BAKNK|10|1|Power/etal/1997|90--91||no|no|minor
BAKNK|11|1|Macalister/1907|118||no|yes|minor
BAKNK|11|1|Macalister/1945|91||no|yes|cdisc
BAKNK|12|1|Macalister/1907|118||no|yes|cdisc
BAKNK|12|1|Macalister/1945|91||no|yes|cdisc
BAKNK|13|1|Macalister/1907|118--120||no|yes|cdisc
BAKNK|13|1|Macalister/1945|91||no|no|cdisc
BAKNK|13|1|Ziegler/1994|259||no|no|read
BAKNK|14|1|Macalister/1907|120--121||no|no|minor
BAKNK|14|1|Macalister/1945|92||no|yes|minor
BAKNK|14|1|Ziegler/1994|259||no|no|read
BAKNK|15|1|Macalister/1907|121||no|yes|minor
BAKNK|15|1|Macalister/1945|92--93||no|yes|minor
BAKNK|15|1|Power/etal/1997|61||no|no|minor
BAKNK|15|1|Ziegler/1994|259||no|no|read
BALBA|1|1|McManus/1991|76||no|no|minor
BALBO|1|1|Macalister/1945|42--44||yes|yes|cdisc
BALBO|2|1|Macalister/1907|96--97||no|yes|cdisc
BALBO|2|1|Macalister/1945|64||no|yes|cdisc
BALBR|1|1|Macalister/1949|197, Plate LXVI||no|yes|cdisc
BALBR|1|1|McManus/1991|68||no|no|cdisc
BALEE|1|1|Gippert/Web|Ogham 147||yes|yes|sdisc
BALEE|1|1|Macalister/1897|51--52||no|yes|cdisc
BALEE|1|1|Macalister/1945|142--144||no|yes|cdisc
BALGH|1|1|Macalister/1945|47--48||no|yes|cdisc
BALGH|1|1|Moore/1996|13||no|no|cdisc
BALIG|1|1|Macalister/1897|27--28||no|yes|cdisc
BALIG|1|1|Macalister/1945|144--145||no|yes|cdisc
BALIG|2|1|Cuppage/etal/1986|251m Plates 12--13||yes|no|cdisc
BALIG|2|1|Macalister/1897|28||no|yes|cdisc
BALIG|2|1|Macalister/1945|145--146||no|yes|cdisc
BALIG|3|1|Cuppage/etal/1986|251||no|no|cdisc
