SITE|STONE|INSCRIPTIO|BIB_REF|PAGES|ILLUSTRATI|PHOTO|DRAWING|VALUE
CLMAC|114|1|Macalister/1949|54, Plate XXIX||no|yes|cdisc
CLMAC|114|1|Petrie/1872|65--66, Plate LXI||no|yes|cdisc
CLMAC|115|1|Lionard/1961|134, 167, Fig. 25.8||no|yes|other
CLMAC|115|1|Macalister/1909|30, Plate XXIV||no|yes|cdisc
CLMAC|115|1|Macalister/1949|55, Plate XXIX||no|yes|cdisc
CLMAC|115|1|Petrie/1872|66-67, Plate LXII||no|yes|cdisc
CLMAC|116|1|Lionard/1961|134, 168, Fig. 25.9||no|yes|other
CLMAC|116|1|Macalister/1909|31, Plate XXV||no|yes|cdisc
CLMAC|116|1|Macalister/1949|55, Plate XXVI||no|yes|cdisc
CLMAC|116|1|Petrie/1872|68, Plate LXI||no|yes|cdisc
CLMAC|117|1|Lionard/1961|133, Fig. 24.6||no|yes|illus
CLMAC|117|1|Macalister/1909|31, Plate XXV||no|yes|cdisc
CLMAC|117|1|Macalister/1949|55, Plate XXX||no|yes|cdisc
CLMAC|117|1|Petrie/1872|50, Plate XXXIX||no|yes|cdisc
CLMAC|118|1|Lionard/1961|133, 163, Fig. 24.1||no|yes|other
CLMAC|118|1|Macalister/1909|31--32, Plate XXV||no|yes|cdisc
CLMAC|118|1|Macalister/1949|55, PLate XXX||no|yes|cdisc
CLMAC|118|1|Petrie/1872|64, Plate LIX||no|yes|cdisc
CLMAC|119|1|Lionard/1961|116, Fig. 12.8||no|yes|illus
CLMAC|119|1|Macalister/1909|32, Plate XXVI||no|yes|cdisc
CLMAC|119|1|Macalister/1949|55, Plate XXVIII||no|yes|cdisc
CLMAC|119|1|Petrie/1872|71, Plate LXVIII||no|yes|cdisc
CLMAC|120|1|Lionard/1961|134, 166, Fig. 25.3||no|yes|other
CLMAC|120|1|Macalister/1909|32, Plate XXVI||no|yes|cdisc
CLMAC|120|1|Macalister/1949|55, Plate XXIII||no|yes|cdisc
CLMAC|120|1|Petrie/1872|60, Plate LIII||no|yes|cdisc
CLMAC|121|1|Lionard/1961|134, Fig. 25.10||no|yes|illus
CLMAC|121|1|Macalister/1909|32--33, Plate XXVI||no|yes|cdisc
CLMAC|121|1|Macalister/1949|55, Plate XXXI||no|yes|cdisc
CLMAC|121|1|Petrie/1872|59, Plate LI||no|yes|cdisc
CLMAC|122|1|Lionard/1961|128, Fig. 21.9||no|yes|illus
CLMAC|122|1|Macalister/1909|33, Plate XXVI||no|yes|cdisc
CLMAC|122|1|Macalister/1949|55, Plate XXX||no|yes|cdisc
CLMAC|123|1|Macalister/1909|33, Plate XXVI||no|yes|cdisc
CLMAC|123|1|Macalister/1949|55, Plate XVII||no|yes|cdisc
CLMAC|123|1|Petrie/1872|38, Plate XXX||no|yes|cdisc
CLMAC|124|1|Lionard/1961|135, Fig. 26.6||no|yes|illus
CLMAC|124|1|Macalister/1909|33, Plate XXVII||no|yes|cdisc
CLMAC|124|1|Macalister/1949|56, Plate XXXI||no|yes|cdisc
CLMAC|124|1|Petrie/1872|44--45, Plate XXXV||no|yes|cdisc
CLMAC|125|1|Macalister/1909|33--34, Plate XXVII||no|yes|cdisc
CLMAC|125|1|Macalister/1949|56, Plate XXIX||no|yes|cdisc
CLMAC|125|1|Petrie/1872|75, Plate LXXIV||no|yes|cdisc
CLMAC|126|1|Lionard/1961|134, Fig. 25.18||no|yes|illus
CLMAC|126|1|Macalister/1909|34, Plate XXVII||no|yes|cdisc
CLMAC|126|1|Macalister/1949|56, Plate XX||no|yes|cdisc
CLMAC|127|1|Lionard/1961|132, Fig. 23.10||no|yes|illus
CLMAC|127|1|Macalister/1909|34, Plate XXVII||no|yes|cdisc
CLMAC|127|1|Macalister/1949|56, Plate XXIX||no|yes|cdisc
CLMAC|127|1|Petrie/1872|58, Plate L||no|yes|cdisc
CLMAC|128|1|Macalister/1909|34, Plate XXVII||no|yes|cdisc
CLMAC|128|1|Macalister/1949|56, Plate XX||no|yes|cdisc
CLMAC|129|1|Macalister/1909|34--35, Plate XXVII||no|yes|cdisc
CLMAC|129|1|Macalister/1949|56, Plate XXVIII||no|yes|cdisc
CLMAC|129|1|Petrie/1872|58, Plate XLIX||no|yes|cdisc
CLMAC|130|1|Macalister/1909|35, Plate XXVII||no|yes|cdisc
CLMAC|130|1|Macalister/1949|56, Plate XX||no|yes|cdisc
CLMAC|130|1|Petrie/1872|46, Plate XXXVI||no|yes|cdisc
CLMAC|131|1|Macalister/1909|35, Plate XXVII||no|yes|cdisc
CLMAC|131|1|Macalister/1949|56, Plate XVII||no|yes|cdisc
CLMAC|132|1|Lionard/1961|133, 167, Fig. 24.17||no|yes|illus
CLMAC|132|1|Macalister/1909|35, Plate XXVII||no|yes|cdisc
CLMAC|132|1|Macalister/1949|57, Plate XXXII||no|yes|cdisc
CLMAC|133|1|Lionard/1961|133, 164, Fig. 24.15||no|yes|minor
CLMAC|133|1|Macalister/1909|35, Plate XXVIII||no|yes|cdisc
CLMAC|133|1|Macalister/1949|57, Plate XXXIII||no|yes|cdisc
CLMAC|133|1|Petrie/1872|53, Plate XLIV||no|yes|cdisc
CLMAC|134|1|Macalister/1909|36, Plate XXVII||no|yes|cdisc
CLMAC|134|1|Macalister/1949|57, Plate XVI||no|yes|cdisc
CLMAC|135|1|Macalister/1909|36, Plate XXVIII||no|yes|cdisc
CLMAC|135|1|Macalister/1949|57, Plate XXXI||no|yes|cdisc
CLMAC|136|1|Lionard/1961|132, Fig. 23.16||no|yes|illus
CLMAC|136|1|Macalister/1909|36, Plate XXVIII||no|yes|cdisc
CLMAC|136|1|Macalister/1949|57, Plate XXXIII||no|yes|cdisc
CLMAC|137|1|Macalister/1909|36, Plate XXVIII||no|yes|cdisc
CLMAC|137|1|Macalister/1949|57, Plate XXXII||no|yes|cdisc
CLMAC|137|1|Petrie/1872|74, Plate LXXII||no|yes|cdisc
CLMAC|138|1|Lionard/1961|133, Fig. 24.9||no|yes|illus
CLMAC|138|1|Macalister/1909|36, Plate XXVIII||no|yes|cdisc
CLMAC|138|1|Macalister/1949|57, Plate XXXIII||no|yes|cdisc
CLMAC|138|1|Petrie/1872|74, Plate LXXII||no|yes|cdisc
CLMAC|139|1|Lionard/1961|133, Fig. 24.7||no|yes|illus
CLMAC|139|1|Macalister/1909|36--37, Plate XXVIII||no|yes|cdisc
CLMAC|139|1|Macalister/1949|57, Plate XIX||no|yes|cdisc
CLMAC|139|1|Petrie/1872|49, Plate XXXIX||no|yes|cdisc
CLMAC|140|1|Lionard/1961|134, Fig. 25.16||no|yes|cdisc
CLMAC|140|1|Macalister/1909|37, Plate XXVIII||no|yes|cdisc
CLMAC|140|1|Macalister/1949|57, Plate XXXI||no|yes|cdisc
CLMAC|140|1|Petrie/1872|63--64, Plate LVIII, Fig. 141||no|yes|cdisc
CLMAC|141|1|Lionard/1961|134, Fig. 25.17||no|yes|cdisc
CLMAC|141|1|Macalister/1909|37, Plate XXIX||no|yes|cdisc
CLMAC|141|1|Macalister/1949|57--58, Plate XXXI||no|yes|cdisc
CLMAC|141|1|Petrie/1872|67, Plate LXII||no|yes|cdisc
CLMAC|142|1|Lionard/1961|134, Fig. 25.15||no|yes|cdisc
CLMAC|142|1|Macalister/1909|37-38, Plate XXIX||no|yes|cdisc
CLMAC|142|1|Macalister/1949|58, Plate XXXIII||no|yes|cdisc
CLMAC|142|1|Petrie/1872|70, Plate LXVI||no|yes|cdisc
CLMAC|143|1|Macalister/1909|38, Plate XXIX||no|yes|cdisc
CLMAC|143|1|Macalister/1949|58, Plate XXXIII||no|yes|cdisc
CLMAC|143|1|Petrie/1872|51, Plate XLI, Fig. 105||no|yes|cdisc
CLMAC|144|1|Lionard/1961|134, Fig. 25.4||no|yes|illus
CLMAC|144|1|Macalister/1909|38, Plate XXIX||no|yes|cdisc
CLMAC|144|1|Macalister/1949|58, Plate XXXI||no|yes|cdisc
CLMAC|144|1|Petrie/1872|66, Plate LXI||no|yes|cdisc
CLMAC|145|1|Lionard/1961|132, Fig. 23.1||no|yes|illus
CLMAC|145|1|Macalister/1909|38, Plate XXX||no|yes|cdisc
CLMAC|145|1|Macalister/1949|58, Plate XXXIII||no|yes|cdisc
CLMAC|145|1|Petrie/1872|24, Plate XIII||no|yes|cdisc
CLMAC|146|1|Lionard/1961|133, Fig. 25.10||no|yes|illus
CLMAC|146|1|Macalister/1909|38--39, Plate XXX||no|yes|cdisc
CLMAC|146|1|Macalister/1949|59, Plate XXXII||no|yes|cdisc
CLMAC|146|1|Petrie/1872|74, Plate LXXII||no|yes|cdisc
CLMAC|147|1|Macalister/1909|39, Plate XXX||no|yes|cdisc
CLMAC|147|1|Macalister/1949|59, Plate XXXI||no|yes|cdisc
CLMAC|147|1|Petrie/1872|62, Plate LV||no|yes|cdisc
CLMAC|148|1|Macalister/1909|39, Plate XXX||no|yes|cdisc
CLMAC|148|1|Macalister/1949|59, Plate XXVIII||no|yes|cdisc
CLMAC|148|1|Petrie/1872|22, Plate X, Fig. 25||no|yes|cdisc
CLMAC|149|1|Lionard/1961|107, Fig. 7.1||no|yes|cdisc
CLMAC|149|1|Macalister/1909|39--40, Plate XXXI||no|yes|cdisc
CLMAC|149|1|Macalister/1949|59, Plate XXXIV||no|yes|cdisc
CLMAC|149|1|Petrie/1872|72, Plate LXIX||no|yes|cdisc
CLMAC|150|1|Macalister/1909|40, Plate XXXI||no|yes|cdisc
CLMAC|150|1|Macalister/1949|59, Plate XXXIV||no|yes|cdisc
CLMAC|151|1|Macalister/1909|40, Plate XXXII||yes|no|cdisc
CLMAC|151|1|Macalister/1949|59, Plate XXVII||no|yes|cdisc
CLMAC|152|1|Lionard/1961|Plate XXVI||yes|no|illus
CLMAC|152|1|Macalister/1949|59||no|no|cdisc
CLMAC|152|1|Manning/Moore/1991|11||yes|no|illus
CLMAC|152|1|Petrie/1872|16, Plate II||no|yes|cdisc
CLMAC|152|2|Lionard/1961|Plate XXVI||yes|no|illus
CLMAC|152|2|Macalister/1909|42||no|no|minor
CLMAC|152|2|Macalister/1949|59||no|no|minor
CLMAC|152|2|Manning/Moore/1991|11||yes|no|minor
CLMAC|153|1|Macalister/1909|42||no|no|list
CLMAC|153|1|Macalister/1949|60||no|no|list
CLMAC|153|1|Petrie/1872|16--17, Plate II||no|yes|cdisc
CLMAC|154|1|Macalister/1909|42||no|no|list
CLMAC|154|1|Macalister/1949|60||no|no|list
CLMAC|154|1|Petrie/1872|17, Plate II||no|yes|cdisc
CLMAC|155|1|Macalister/1909|42||no|no|list
CLMAC|155|1|Macalister/1949|60||no|no|list
CLMAC|155|1|Petrie/1872|17, Plate III||no|yes|cdisc
CLMAC|156|1|Macalister/1909|42||no|no|list
CLMAC|156|1|Petrie/1872|19, Plate V, Fig.13||no|yes|cdisc
CLMAC|161|1|Macalister/1909|43||no|no|list
CLMAC|161|1|Petrie/1872|20, Plate VII, Fig.18||no|no|cdisc
CLMAC|162|1|Macalister/1949|60||no|no|minor
CLMAC|163|1|Macalister/1909|43||no|no|list
CLMAC|163|1|Macalister/1949|60||no|no|list
CLMAC|163|1|Petrie/1872|24, Plate XIV, Fig. 33||no||minor
CLMAC|165|1|Macalister/1909|43||no|no|list
CLMAC|165|1|Macalister/1945|60||no|no|list
CLMAC|165|1|Petrie/1872|25, Plate XV, Fig. 37||no|yes|minor
CLMAC|166|1|Macalister/1909|60||no|no|list
CLMAC|166|1|Macalister/1949|60||no|no|list
CLMAC|166|1|Petrie/1872|26, Plate XV, Fig. 38||no|yes|minor
CLMAC|168|1|Macalister/1909|44||no|no|list
CLMAC|168|1|Macalister/1949|61||no|no|list
CLMAC|168|1|Petrie/1872|28, Plate XVIII, Fig. 46||no|yes|cdisc
CLMAC|169|1|Macalister/1909|44||no|no|list
CLMAC|169|1|Macalister/1949|61||no|no|list
CLMAC|169|1|Petrie/1872|30, Plate XX, Fig. 50||no|yes|cdisc
CLMAC|171|1|Macalister/1909|44||no|no|list
CLMAC|171|1|Macalister/1949|61||no|no|list
CLMAC|171|1|Petrie/1872|33, Plate XXIV, Fig. 60||no|yes|minor
CLMAC|172|1|Macalister/1909|44||no|no|list
CLMAC|172|1|Macalister/1949|61||no|no|list
CLMAC|172|1|Petrie/1872|35, Plate XXVI, Fig. 64||no|no|minor
CLMAC|173|1|Macalister/1909|44||no|no|list
CLMAC|173|1|Macalister/1949|61||no|no|list
CLMAC|173|1|Petrie/1872|35, Plate XXVI, Fig.65||no|yes|minor
CLMAC|174|1|Macalister/1909|44||no|no|list
CLMAC|174|1|Macalister/1949|61||no|no|list
CLMAC|174|1|Petrie/1872|36, Plate XXVIII, Fig. 70||no|yes|minor
CLMAC|175|1|Macalister/1909|44||no|no|list
CLMAC|175|1|Macalister/1949|61||no|no|list
CLMAC|175|1|Petrie/1872|36, Plate XXVIII||no|yes|minor
CLMAC|176|1|Macalister/1909|44||no|no|list
CLMAC|176|1|Macalister/1949|61||no|no|list
CLMAC|176|1|Petrie/1872|36, Plate XXVIII||no|yes|cdisc
CLMAC|177|1|Macalister/1899|116||no|no|list
CLMAC|177|1|Macalister/1909|44||no|no|list
CLMAC|177|1|Macalister/1949|61||no|no|list
CLMAC|177|1|Petrie/1872|37, Plate XXVIII||no|yes|cdisc
CLMAC|178|1|Macalister/1909|44||no|no|list
CLMAC|178|1|Macalister/1949|61||no|no|list
CLMAC|178|1|Petrie/1872|37, Plate XXIX||no|yes|cdisc
CLMAC|179|1|Macalister/1899|116||no|no|list
CLMAC|179|1|Macalister/1909|45||no|no|list
CLMAC|179|1|Macalister/1949|61||no|no|list
CLMAC|179|1|Petrie/1872|39, Plate XXXI||no|yes|cdisc
CLMAC|180|1|Macalister/1909|45, 97, Fig. 15||no|yes|cdisc
CLMAC|180|1|Macalister/1949|61||no|no|cdisc
CLMAC|180|1|Petrie/1872|39--41, Plate XXXI||no|yes|sdisc
CLMAC|181|1|Macalister/1909|45||no|no|list
CLMAC|181|1|Macalister/1949|62||no|no|list
CLMAC|181|1|Petrie/1872|42, Plate XXXII||no|yes|cdisc
CLMAC|182|1|Lionard/1961|162||no|no|other
CLMAC|182|1|Macalister/1909|45||no|no|cdisc
CLMAC|182|1|Macalister/1949|62||no|no|list
CLMAC|182|1|Petrie/1872|47||no|yes|cdisc
CLMAC|183|1|Lionard/1961|133, Fig. 24.11, 165||no|yes|cdisc
CLMAC|183|1|Macalister/1909|45, 98, Fig. 16||no|yes|cdisc
CLMAC|183|1|Macalister/1949|62||no|no|cdisc
CLMAC|183|1|Petrie/1872|48--49, Plate XXXVIII||no|yes|sdisc
CLMAC|183|2|Lionard/1961|133, Fig. 24.11, 165||no|yes|cdisc
CLMAC|183|2|Macalister/1909|45, 98, F.ig. 16||no|yes|cdisc
CLMAC|183|2|Macalister/1949|62||no|no|cdisc
CLMAC|183|2|Petrie/1872|48--49, Plate XXXVIII||no|yes|cdisc
CLMAC|184|1|Macalister/1909|46||no|no|read
CLMAC|184|1|Macalister/1949|62||no|no|read
CLMAC|184|1|Petrie/1872|53--54||no|yes|cdisc
CLMAC|185|1|Macalister/1909|46||no|no|cdisc
CLMAC|185|1|Macalister/1949|62-63||no|no|cdisc
CLMAC|185|1|Petrie/1872|54, Plate XLVI||no|yes|cdisc
CLMAC|185|2|Macalister/1909|46||no|no|cdisc
CLMAC|185|2|Macalister/1949|62--63||no|no|cdisc
CLMAC|185|2|Petrie/1872|54, Plate XLVI||no|yes|cdisc
CLMAC|186|1|Macalister/1909|46||no|no|cdisc
CLMAC|186|1|Macalister/1949|63||no|no|cdisc
CLMAC|186|1|Petrie/1872|55, Plate XLVII||no|yes|cdisc
CLMAC|187|1|Macalister/1909|46||no|no|cdisc
CLMAC|187|1|Macalister/1949|63||no|no|cdisc
CLMAC|187|1|Petrie/1872|55, Plate XLVII||no|yes|cdisc
CLMAC|188|1|Lionard/1961|128, Fig. 21.4||no|yes|illus
CLMAC|188|1|Macalister/1909|46||no|no|cdisc
CLMAC|188|1|Macalister/1949|63||no|no|cdisc
CLMAC|188|1|Petrie/1872|56, Plate XLVII||no|yes|cdisc
CLMAC|189|1|Lionard/1961|165||no|no|other
CLMAC|189|1|Macalister/1909|46||no|no|cdisc
CLMAC|189|1|Macalister/1949|63||no|no|cdisc
CLMAC|189|1|Petrie/1872|56--57, Plate XLVIII||no|yes|cdisc
CLMAC|190|1|Lionard/1961|123, Fig. 17.6||no|yes|illus
CLMAC|190|1|Macalister/1909|46--47||no|no|cdisc
CLMAC|190|1|Macalister/1949|63, Plate XIX||no|yes|cdisc
CLMAC|190|1|Petrie/1872|59, Plate LI||no|yes|cdisc
CLMAC|191|1|Macalister/1909|47||no|no|cdisc
CLMAC|191|1|Macalister/1949|63||no|no|cdisc
CLMAC|191|1|Petrie/1872|62||no|yes|cdisc
CLMAC|192|1|Macalister/1909|47||no|no|list
CLMAC|192|1|Macalister/1949|63||no|no|list
CLMAC|192|1|Petrie/1872|63, Plate LVII||no|yes|cdisc
CLMAC|193|1|Macalister/1909|47||no|no|list
CLMAC|193|1|Macalister/1949|63||no|no|list
CLMAC|193|1|Petrie/1872|64||no|yes|cdisc
CLMAC|194|1|Macalister/1909|47||no|no|list
CLMAC|194|1|Macalister/1949|63||no|no|list
CLMAC|194|1|Petrie/1872|65, Plate LX||no|yes|cdisc
CLMAC|195|1|Macalister/1909|47||no|no|list
CLMAC|195|1|Macalister/1949|63||no|no|list
CLMAC|195|1|Petrie/1872|69, Plate LXIV||no|no|cdisc
CLMAC|196|1|Macalister/1909|47||no|no|list
CLMAC|196|1|Macalister/1949|64||no|no|list
CLMAC|196|1|Petrie/1872|69, Plate LXIV, Fig. 156||no|yes|minor
CLMAC|197|1|Macalister/1909|48||no|yes|cdisc
CLMAC|197|1|Macalister/1949|64||no|yes|cdisc
CLMAC|197|1|Petrie/1872|70, Fig. 157||no|yes|cdisc
CLMAC|198|1|Macalister/1909|48||no|no|cdisc
CLMAC|198|1|Macalister/1949|64||no|no|cdisc
CLMAC|198|1|Petrie/1872|71, Fig. 161||no|yes|cdisc
CLMAC|199|1|Macalister/1909|48||no|no|cdisc
CLMAC|199|1|Macalister/1949|64||no|no|cdisc
CLMAC|199|1|Petrie/1872|71, Fig. 163||no|yes|cdisc
CLMAC|200|1|Macalister/1909|48||no|no|cdisc
CLMAC|200|1|Macalister/1949|64||no|no|cdisc
CLMAC|200|1|Petrie/1872|72, Fig. 165||no|yes|cdisc
CLMAC|201|1|Macalister/1909|48||no|no|cdisc
CLMAC|201|1|Macalister/1949|64||no|no|list
CLMAC|201|1|Petrie/1872|73, Fig. 168||no|yes|cdisc
CLMAC|202|1|Macalister/1909|48||no|no|cdisc
CLMAC|202|1|Macalister/1949|64||no|no|cdisc
CLMAC|202|1|Petrie/1872|73||no|yes|cdisc
CLMAC|203|1|Macalister/1909|48||no|no|minor
CLMAC|203|1|Macalister/1949|64||no|no|list
CLMAC|203|1|Petrie/1872|74, Plate LXXII, Fig.171||no|yes|minor
CLMAC|204|1|Macalister/1909|48||no|no|minor
CLMAC|204|1|Macalister/1949|64||no|no|list
CLMAC|204|1|Petrie/1872|74, Plate LXXII, Fig. 174||no|yes|cdisc
CLMAC|205|1|Macalister/1909|49||no|no|list
CLMAC|205|1|Macalister/1949|65||no|no|list
CLMAC|205|1|Petrie/1872|75, Plate LXXIV, Fig. 176||no|yes|minor
CLMAC|206|1|Macalister/1909|49||no|no|minor
CLMAC|206|1|Macalister/1949|65, Plate XXVII||no|no|minor
CLMAC|206|1|Petrie/1872|65, Plate XXVII||no|yes|cdisc
CLMAC|207|1|Macalister/1909|49||no|no|list
CLMAC|207|1|Macalister/1949|65||no|no|list
CLMAC|207|1|Petrie/1872|51, Plate XLI, Fig. 104||no|yes|minor
CLMAC|208|1|Macalister/1909|49||no|no|minor
CLMAC|208|1|Macalister/1949|65||no|no|minor
CLMAC|209|1|Macalister/1949|65--66, Plate XXXIV||no|yes|cdisc
CLMAC|210|1|Macalister/1949|66, Plate XXXIV||no|yes|cdisc
CLMAC|211|1|Macalister/1949|66, Plate XXXIV||no|yes|cdisc
COOGH|1|1|Zeigler/1994|156||no|no|other
CLMAC|212|1|Macalister/1949|66, Plate XXXII||no|yes|cdisc
CLMAC|213|1|Macalister/1949|66, Plate XXXII||no|yes|cdisc
CLMAC|214|1|Macalister/1949|66, Plate XXXIV||no|yes|cdisc
CLMAC|215|1|Macalister/1949|66, Plate XXV||no|yes|cdisc
CLMAC|216|1|Macalister/1949|66, Plate XXXIII||no|yes|cdisc
CLMAC|217|1|Macalister/1949|66, Plate XXVIII||no|yes|cdisc
CLMAC|218|1|Macalister/1949|67, Plate XXXIII||no|yes|cdisc
CLMAC|219|1|Macalister/1949|67, Plate XXXIII||no|yes|cdisc
CLMAC|220|1|Macalister/1949|67, Plate XXVIII||no|yes|list
CLMAC|221|1|Macalister/1949|67, Plate XXVIII||no|yes|cdisc
CLMAC|222|1|Macalister/1949|67, Plate XXXI||no|yes|cdisc
CLMAC|223|1|Macalister/1949|67, Plate XXXIII||no|yes|cdisc
CLMAC|224|1|Macalister/1949|67, Plate XXIX||no|no|cdisc
CLMAC|225|1|Macalister/1949|67, Plate XXXI||no|yes|cdisc
CLMAC|226|1|Macalister/1949|67, Plate XXXIV||no|yes|cdisc
CLMAC|227|1|Macalister/1949|67, Plate XXVII||no|yes|cdisc
CLMAC|228|1|Macalister/1949|68, Plate XX||no|yes|cdisc
CLMAC|229|1|Macalister/1909|45||no|no|list
CLMAC|229|1|Macalister/1949|68, Plate XXII||no|yes|cdisc
CLMAC|229|1|Petrie/1872|50, Plate XL||no|yes|cdisc
CLMAC|230|1|Lionard/1961|133, Fig. 24.13, 168||no|yes|other
CLMAC|230|1|Macalister/1909|49||no|no|list
CLMAC|230|1|Macalister/1949|68, Plate XXIX||no|yes|cdisc
CLMAC|230|1|Petrie/1872|75, Plate LXXIV||no|yes|cdisc
CLMAC|231|1|Macalister/1949|68, Plate XXVII||no|yes|cdisc
CLMAC|232|1|Macalister/1949|68, Plate XV||no|yes|cdisc
CLMAC|233|1|Lionard/1961|134, Fig. 25.5||no|yes|illus
CLMAC|233|1|Macalister/1949|68, Plate XXVII||no|yes|cdisc
CLMAC|234|1|Macalister/1949|68, Plate XXIX||no|yes|cdisc
CLMAC|235|1|Lionard/1961|123, Fig. 17.7||no|yes|illus
CLMAC|235|1|Macalister/1949|68--69, Plate XXVII||no|yes|cdisc
CLMAC|236|1|Macalister/1949|69, Plate XI||no|yes|cdisc
CLMAC|237|1|Macalister/1949|69, Plate XII||no|yes|cdisc
CLMAC|238|1|Macalister/1949|69, Plate XIII||no|yes|cdisc
CLMAC|239|1|Macalister/1949|69, Plate XIV||no|yes|cdisc
CLMAC|240|1|Macalister/1949|69, Plate XVIII||no|yes|cdisc
CLMAC|241|1|Macalister/1949|69, Plate XXII||no|yes|cdisc
CLMAC|242|1|Macalister/1949|69, Plate XXII||no|yes|cdisc
CLMAC|243|1|Macalister/1949|69, pl. XXII||no|yes|minor
CLMAC|244|1|Macalister/1949|69, pl. XXII||no|yes|minor
CLMAC|245|1|Macalister/1949|69, pl. XXXII||no|yes|minor
CLMAC|246|1|Macalister/1949|69, pl. XIX||no|yes|minor
CLMAC|247|1|Macalister/1949|70||no|yes|minor
CLMAC|248|1|Macalister/1949|70||no|yes|minor
CLMAC|249|1|Lionard/1961|102, Fig. 1.14, 157||no|yes|cdisc
CLMAC|249|1|Macalister/1949|70, Plate XIX||no|yes|cdisc
CLMAC|250|1|Lionard/1961|111, Fig. 9.10||no|yes|illus
CLMAC|250|1|Macalister/1949|70, Plate XVI||no|yes|cdisc
CLMAC|252|1|Macalister/1949|71, Plate XVI||no|yes|list
CLMAC|253|1|Macalister/1949|198, Plate LXVII||no|yes|list
CLMAC|254|1|Macalister/1949|198--199, Plate LXVI||no|yes|list
CLMAC|255|1|Macalister/1949|199, Plate LXVI||no|yes|list
CLMAC|256|1|Macalister/1949|199, Plate LXVI||no|yes|list
CLMAC|257|1|Macalister/1949|199, Plate LXVI||no|yes|list
CLMAC|258|1|Macalister/1949|199, Plate LXVI||no|yes|list
CLMAC|259|1|Macalister/1949|199, Plate LXVI||no|yes|list
CLMAC|260|1|Macalister/1949|199, Plate LXVII||no|yes|list
CLMAC|261|1|Macalister/1949|199, Plate LXVII||no|yes|list
CLMAC|262|1|Manning/Moore/1991|10--11||yes|yes|minor
CLMAC|263|1|King/1992|23||yes|no|minor
CLMOR|1|1|Gippert/Web|Ogham 15||yes|no|cdisc
CLMOR|1|1|Macalister/1945|18||no|yes|cdisc
CLMOR|2|1|Harbison/1991|185||no|no|minor
CLONC|1|1|Macalister/1949|116, Plate XLVI||no|yes|cdisc
CLONM|1|1|Macalister/1949|65-66||no|yes|cdisc
CLOOM|1|1|Gippert/Web|Ogham 2||yes|no|read
CLOOM|1|1|Macalister/1945|3--4||no|yes|cdisc
CLOON|1|1|Macalister/1949|98, 100, Plate XXXV||no|yes|cdisc
CLYDI|1|1|Huebner/1876|39||no|yes|list
CLYDI|1|1|Macalister/1945|410--411||no|yes|cdisc
CLYDI|1|1|Nash-Williams/1950|184, Fig. 199||no|yes|cdisc
CLYDI|1|1|RCHAMW/1925|75||no|no|list
CLYDI|1|1|Rhys/1873|5||no|no|cdisc
CLYDI|1|1|RomillyAllen/1896|298||no|no|list
CLYDI|1|1|Westwood/1860|226||no|yes|cdisc
CLYDI|1|1|Westwood/1879|123--124||no|yes|cdisc
CLYDI|1|2|Huebner/1876|39||no|yes|list
CLYDI|1|2|Macalister/1945|410--411||no|yes|cdisc
CLYDI|1|2|Nash-Williams/1950|184--186, Fig. 199||no|yes|cdisc
CLYDI|1|2|RCHAMW/1925|75||no|no|list
CLYDI|1|2|Rhys/1873|5||no|no|list
CLYDI|1|2|RomillyAllen/1896|298||no|no|list
CLYDI|1|2|Westwood/1860|226||no|yes|cdisc
CLYDI|1|2|Westwood/1879|123--124||no|no|cdisc
CLYDI|2|1|Huebner/1876|39||no|yes|list
CLYDI|2|1|Jackson/1953|512||no|no|other
CLYDI|2|1|Macalister/1945|409--410||no|yes|cdisc
CLYDI|2|1|Nash-Williams/1950|186, Plate XIII, Fig. 200||yes|yes|cdisc
CLYDI|2|1|RCHAMW/1925|75||no|yes|list
CLYDI|2|1|Rhys/1873|5||no|no|list
CLYDI|2|1|RomillyAllen/1896|302||no|no|list
CLYDI|2|1|Westwood/1860|223--224||no|yes|cdisc
CLYDI|2|1|Westwood/1879|122--123||no|yes|cdisc
CLYDI|3|1|Huebner/1876|38||no|yes|list
CLYDI|3|1|Jackson/1953|621||no|no|other
CLYDI|3|1|Macalister/1945|410--411||no|yes|cdisc
CLYDI|3|1|Nash-Williams/1950|186, Plate IV, Fig. 201||yes|yes|cdisc
CLYDI|3|1|RCHAMW/1925|75||yes|yes|cdisc
CLYDI|3|1|Rhys/1873|5||no|no|list
CLYDI|3|1|Rhys/1918|188||no|no|minor
CLYDI|3|1|RomillyAllen/1896|299||no|no|list
CLYDI|3|1|Westwood/1860|226||no|yes|minor
CLYDI|3|1|Westwood/1879|125--127||no|yes|sdisc
CLYDI|3|2|Huebner/1876|38||no|yes|list
CLYDI|3|2|Jackson/1953|621, 644||no|no|other
CLYDI|3|2|Macalister/1922a|29||no|no|cdisc
CLYDI|3|2|Macalister/1945|410--412||no|yes|cdisc
CLYDI|3|2|Nash-Williams/1950|186, Plate IV, Fig. 201||yes|yes|cdisc
CLYDI|3|2|RCHAMW/1925|75||yes|yes|cdisc
CLYDI|3|2|Rhys/1873|5||no|no|list
CLYDI|3|2|Rhys/1918|188||no|no|minor
CLYDI|3|2|RomillyAllen/1896|299||no|no|list
CLYDI|3|2|Westwood/1860|227--228||no|yes|cdisc
